Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,-800.00000E-009,58.00000E-012,-13.79310E+003,-46.40000E-018,18.17600E-003,1600,-700.00000E-009,41.00000E-012,-17.07317E+003,-28.70000E-018,18.17600E-003,1600,0.00000E+000
1,1,2,-2.00000E+000,601.00000E-012,-3.32779E+009,-1.20200E-009,22.82900E-003,1664,-100.00000E-009,1.18600E-009,-84.31703E+000,-118.60000E-018,22.82900E-003,1600,0.00000E+000
1,1,3,-4.00000E+000,-702.00000E-012,5.69801E+009,2.80800E-009,27.44300E-003,1728,1.60000E-006,-454.00000E-012,-3.52423E+003,-726.40000E-018,27.44300E-003,1600,0.00000E+000
1,1,4,-6.00000E+000,-1.28100E-009,4.68384E+009,7.68600E-009,31.50400E-003,1728,-300.00000E-009,-1.16800E-009,256.84932E+000,350.40000E-018,31.50400E-003,1600,0.00000E+000
1,1,5,-8.00000E+000,-283.00000E-012,28.26855E+009,2.26400E-009,35.46900E-003,1728,-1.20000E-006,202.00000E-012,-5.94059E+003,-242.40000E-018,35.46900E-003,1600,0.00000E+000
1,1,6,-10.00000E+000,414.00000E-012,-24.15459E+009,-4.14000E-009,39.48000E-003,1728,1.40000E-006,1.15500E-009,1.21212E+003,1.61700E-015,39.48000E-003,1600,0.00000E+000
1,1,7,-12.00000E+000,-756.00000E-012,15.87302E+009,9.07200E-009,43.51800E-003,1728,300.00000E-009,-299.00000E-012,-1.00334E+003,-89.70000E-018,43.51800E-003,1600,0.00000E+000
1,1,8,-14.00000E+000,-1.32500E-009,10.56604E+009,18.55000E-009,47.48500E-003,1728,2.70000E-006,-1.01000E-009,-2.67327E+003,-2.72700E-015,47.48500E-003,1600,0.00000E+000
1,1,9,-16.00000E+000,-543.00000E-012,29.46593E+009,8.68800E-009,51.48600E-003,1728,0.00000E+000,65.00000E-012,0.00000E+000,0.00000E+000,51.48600E-003,1600,0.00000E+000
1,1,10,-18.00000E+000,81.00000E-012,-222.22222E+009,-1.45800E-009,55.55000E-003,1728,-600.00000E-009,923.00000E-012,-650.05417E+000,-553.80000E-018,55.55000E-003,1600,0.00000E+000
