,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,60.0,1.32129e-07,-20.0,3.94e-10,1.32129e-07,0.00036349552954610047,,
1,60.0,9.930799999999999e-08,-18.0,3.655e-09,9.930799999999999e-08,0.0003151317184924424,,
2,60.0,7.372399999999999e-08,-16.0,4.937000000000001e-09,7.372399999999999e-08,0.0002715216381800905,,
3,60.0,5.3863000000000004e-08,-14.0,5.966e-09,5.3863000000000004e-08,0.00023208403650402154,,
4,60.0,3.4607e-08,-12.000010000000001,8.475e-09,3.4607e-08,0.00018602956754236677,,
5,60.0,2.5156999999999998e-08,-10.0,7.503e-09,2.5156999999999998e-08,0.00015860958356921564,,
6,60.0,1.5901e-08,-8.0,7.599e-09,1.5901e-08,0.00012609916732476864,,
7,60.0,9.218e-09,-6.0,5.785e-09,9.218e-09,9.601041610158764e-05,,
8,60.0,5.245e-09,-4.0,5.238e-09,5.245e-09,7.242237223399962e-05,,
9,60.0,1.844e-09,-2.0,7.426000000000001e-09,1.844e-09,4.2941821107167774e-05,,
10,60.0,-2.015e-09,3.1e-06,1.1389e-08,2.015e-09,4.4888751374926885e-05,,
11,60.0,-1.024e-09,2.0,6.6159999999999995e-09,1.024e-09,3.2e-05,,
12,60.0,-1.7480000000000002e-09,4.0,5.1170000000000004e-09,1.7480000000000002e-09,4.180908992073375e-05,,
13,60.0,-1.7699999999999999e-09,6.0,5.14e-09,1.7699999999999999e-09,4.2071367935925255e-05,,
14,60.0,-1.277e-09,8.0,7.074e-09,1.277e-09,3.5735136770411276e-05,,
15,60.0,-2.552e-09,10.0,6.452e-09,2.552e-09,5.051732376126035e-05,,
16,60.0,-3.467e-09,12.0,5.136e-09,3.467e-09,5.888123640006212e-05,,
17,60.0,-3.1130000000000003e-09,14.0,6.35e-09,3.1130000000000003e-09,5.579426493825329e-05,,
18,60.0,-1.787e-09,16.0,8.387e-09,1.787e-09,4.22729227756965e-05,,
19,60.0,-2.445e-09,18.0,7.624e-09,2.445e-09,4.944694126030447e-05,,
20,60.0,-2.8599999999999996e-09,20.0,6.181e-09,2.8599999999999996e-09,5.347896782848375e-05,,
21,60.0,-2.283e-09,22.0,6.683e-09,2.283e-09,4.778074926160116e-05,,
22,60.0,-8.53e-10,24.0,8.237e-09,8.53e-10,2.9206163733020466e-05,,
23,60.0,-1.933e-09,26.0,9.178e-09,1.933e-09,4.3965895873961214e-05,,
24,60.0,-1.051e-09,28.0,8.018e-09,1.051e-09,3.241913015489466e-05,,
25,60.0,-8.1e-11,30.0,8.654e-09,8.1e-11,9e-06,,
26,60.0,-1e-10,32.0,7.237e-09,1e-10,1e-05,,
27,60.0,-1.24e-10,34.0,6.147e-09,1.24e-10,1.1135528725660045e-05,,
28,60.0,2.66e-10,36.0,5.978e-09,2.66e-10,1.630950643030009e-05,,
29,60.0,1.8679999999999998e-09,38.0,7.812e-09,1.8679999999999998e-09,4.322036556994862e-05,,
30,60.0,1.37e-09,40.0,6.974e-09,1.37e-09,3.701351104664349e-05,,
31,60.0,1.3889999999999999e-09,42.0,6.455999999999999e-09,1.3889999999999999e-09,3.7269290307168446e-05,,
32,60.0,1.208e-09,44.0,5.9309999999999995e-09,1.208e-09,3.4756294393965535e-05,,
33,60.0,1.75e-09,46.0,6.332e-09,1.75e-09,4.183300132670378e-05,,
34,60.0,2.762e-09,48.0,7.262e-09,2.762e-09,5.2554733373883654e-05,,
35,60.0,2.612e-09,50.0,6.983e-09,2.612e-09,5.110772935672255e-05,,
