,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,60.0,1.25488e-07,-20.0,-1.104e-09,1.25488e-07,0.0003542428545503776,,
1,60.0,9.199099999999999e-08,-18.0,3.9379999999999994e-09,9.199099999999999e-08,0.0003033001813385544,,
2,60.0,6.6847e-08,-16.00001,4.899e-09,6.6847e-08,0.00025854786790843975,,
3,60.0,4.5774e-08,-14.0,5.223e-09,4.5774e-08,0.0002139485919561052,,
4,60.0,2.9893999999999996e-08,-12.0,4.911e-09,2.9893999999999996e-08,0.00017289881433948584,,
5,60.0,1.9847e-08,-10.0,5.7989999999999995e-09,1.9847e-08,0.00014087938103214394,,
6,60.0,1.1451e-08,-8.0,6.032e-09,1.1451e-08,0.00010700934538627923,,
7,60.0,5.512e-09,-6.0,3.892e-09,5.512e-09,7.424284477308234e-05,,
8,60.0,3.115e-09,-4.0,4.263e-09,3.115e-09,5.58121850495033e-05,,
9,60.0,-1.443e-09,-2.0,6.1850000000000005e-09,1.443e-09,3.798683982644516e-05,,
10,60.0,-4.8849999999999996e-09,8.2e-06,1.1746000000000001e-08,4.8849999999999996e-09,6.989277502002621e-05,,
11,60.0,-7.386e-09,1.9999900000000002,1.5101e-08,7.386e-09,8.594184079946159e-05,,
12,60.0,-3.398e-09,4.0,7.868000000000001e-09,3.398e-09,5.829236656715869e-05,,
13,60.0,-3.797e-09,6.0,6.349e-09,3.797e-09,6.161980201201559e-05,,
14,60.0,-7.054000000000001e-09,7.9999899999999995,1.1541999999999998e-08,7.054000000000001e-09,8.398809439438426e-05,,
15,60.0,-7.57e-09,9.999989999999999,1.3994e-08,7.57e-09,8.700574693662483e-05,,
16,60.0,-4.272e-09,12.0,8.939e-09,4.272e-09,6.536053855347277e-05,,
17,60.0,-4.396e-09,14.0,7.353e-09,4.396e-09,6.630233781700311e-05,,
18,60.0,-3.0780000000000003e-09,16.0,8.050000000000001e-09,3.0780000000000003e-09,5.5479726026720794e-05,,
19,60.0,-2.252e-09,18.0,8.417e-09,2.252e-09,4.745524207081869e-05,,
20,60.0,-2.836e-09,20.0,6.949999999999999e-09,2.836e-09,5.3254107822777395e-05,,
21,60.0,-2.246e-09,22.0,7.372e-09,2.246e-09,4.739198244429114e-05,,
22,60.0,-5.88e-10,24.0,9.137e-09,5.88e-10,2.4248711305964283e-05,,
23,60.0,-1.699e-09,26.0,9.916000000000001e-09,1.699e-09,4.12189276910499e-05,,
24,60.0,4.32e-10,28.0,9.086999999999999e-09,4.32e-10,2.0784609690826528e-05,,
25,60.0,4.76e-10,30.0,7.4409999999999994e-09,4.76e-10,2.181742422927143e-05,,
26,60.0,1.47e-10,32.0,6.0960000000000005e-09,1.47e-10,1.2124355652982141e-05,,
27,60.0,7.5e-10,34.0,6.3900000000000005e-09,7.5e-10,2.7386127875258307e-05,,
28,60.0,2.133e-09,36.0,7.779e-09,2.133e-09,4.6184412955021954e-05,,
29,60.0,2.087e-09,38.0,7.6e-09,2.087e-09,4.5683695122001676e-05,,
30,60.0,2.051e-09,40.0,6.7810000000000005e-09,2.051e-09,4.528796749689701e-05,,
31,60.0,2.102e-09,42.0,6.6220000000000005e-09,2.102e-09,4.58475735453906e-05,,
32,60.0,3.2229999999999997e-09,44.0,7.612e-09,3.2229999999999997e-09,5.6771471708949024e-05,,
33,60.0,3.986e-09,46.0,8.063e-09,3.986e-09,6.313477647065838e-05,,
34,60.0,3.771e-09,48.0,7.656e-09,3.771e-09,6.140846847137616e-05,,
35,60.0,2.9270000000000003e-09,50.0,6.125e-09,2.9270000000000003e-09,5.410175597889592e-05,,
36,60.0,3.727e-09,52.0,6.634e-09,3.727e-09,6.104916051838879e-05,,
37,60.0,4.254e-09,54.0,7.1640000000000005e-09,4.254e-09,6.522269543648132e-05,,
38,60.0,5.251e-09,56.0,8.153e-09,5.251e-09,7.246378405796927e-05,,
39,60.0,5.233e-09,58.0,7.93e-09,5.233e-09,7.23394774656273e-05,,
40,60.0,4.407e-09,60.0,6.728e-09,4.407e-09,6.6385239323211e-05,,
41,60.0,4.8039999999999995e-09,62.0,7.381e-09,4.8039999999999995e-09,6.931089380465382e-05,,
42,60.0,6.221999999999999e-09,64.0,9.07e-09,6.221999999999999e-09,7.887965517166008e-05,,
43,60.0,5.766e-09,66.0,8.450999999999999e-09,5.766e-09,7.593418202627853e-05,,
44,60.0,5.339000000000001e-09,68.0,8.241e-09,5.339000000000001e-09,7.306846104852627e-05,,
45,60.0,4.892e-09,70.0,7.893e-09,4.892e-09,6.994283380018284e-05,,
46,60.0,4.924e-09,72.0,7.836e-09,4.924e-09,7.017121917139534e-05,,
47,60.0,5.61e-09,74.0,9.011e-09,5.61e-09,7.489993324429603e-05,,
48,60.0,5.51e-09,76.0,9.552e-09,5.51e-09,7.422937423958254e-05,,
49,60.0,5.434e-09,78.0,9.305999999999999e-09,5.434e-09,7.371566997592846e-05,,
50,60.0,4.445e-09,80.0,8.421e-09,4.445e-09,6.667083320313314e-05,,
51,60.0,4.293e-09,82.0,8.751e-09,4.293e-09,6.552098900352466e-05,,
52,60.0,3.314e-09,84.0,1.2055e-08,3.314e-09,5.7567351858497016e-05,,
53,60.0,3.798e-09,86.0,9.591e-09,3.798e-09,6.162791575252241e-05,,
54,60.0,4.09e-09,88.0,1.0363e-08,4.09e-09,6.395310782127792e-05,,
55,60.0,4.783e-09,90.0,1.1349e-08,4.783e-09,6.915923654870693e-05,,
56,60.0,3.932e-09,92.0,1.0845e-08,3.932e-09,6.270566162636354e-05,,
57,60.0,2.531e-09,94.0,9.296e-09,2.531e-09,5.030904491242107e-05,,
58,60.0,2.597e-09,96.0,9.533e-09,2.597e-09,5.0960769224963626e-05,,
59,60.0,2.841e-09,98.0,1.0585e-08,2.841e-09,5.330103188494572e-05,,
60,60.0,3.483e-09,100.0,1.1822e-08,3.483e-09,5.9016946718718006e-05,,
61,64.0,3.75989e-07,-20.0,-4.491e-09,3.75989e-07,0.0006131794190936288,,
62,64.0,3.05656e-07,-18.0,5.75e-10,3.05656e-07,0.0005528616463456296,,
63,64.0,2.43115e-07,-16.0,7.697000000000001e-09,2.43115e-07,0.0004930669325760956,,
64,64.0,2.02063e-07,-14.0,4.411e-09,2.02063e-07,0.00044951418220118484,,
