,V_Drain,I_Drain,V_Gate,I_Gate
0,5e-07,6.72e-10,0.0,8.67e-10
1,2.0,-2.92e-10,-1e-07,-5.94e-10
2,4.0,9e-12,-4e-07,-3.18e-10
3,6.0,6.66e-10,9e-07,4.11e-10
4,8.0,7.54e-10,1.9e-06,4.36e-10
5,10.0,-4e-11,3e-07,-6.48e-10
6,12.0,-1.72e-10,-2e-07,-9.32e-10
7,14.0,8.34e-10,1.5e-06,3.68e-10
8,16.0,1.1799999999999999e-09,1e-07,7.34e-10
9,18.0,1.48e-10,1.5e-06,-5.51e-10
10,20.0,-2.58e-10,-1e-07,-1.241e-09
11,22.0,8.36e-10,6e-07,3.07e-10
12,24.0,1.6059999999999998e-09,1.2e-06,1.039e-09
13,26.0,4.47e-10,-1.9e-06,-4.37e-10
14,28.0,-4.2e-11,1e-07,-1.254e-09
15,30.0,8.73e-10,2e-07,1.3e-11
16,32.0,1.586e-09,-1e-07,7.18e-10
17,34.0,5.94e-10,-2.2e-06,-5.65e-10
18,36.0,1.94e-10,5e-07,-1.482e-09
19,38.0,1.3519999999999999e-09,-1.7e-06,-2.6e-10
20,40.0,2.353e-09,-1.6e-06,3.96e-10
21,42.0,1.5809999999999998e-09,1.6e-06,-1.435e-09
22,44.0,1.7719999999999999e-09,-3.6e-06,-2.88e-09
23,46.0,3.913e-09,-3e-06,-2.6069999999999998e-09
24,48.0,6.036e-09,-1.5e-06,-3.0099999999999997e-09
25,50.0,7.31e-09,-2.6e-06,-5.016e-09
26,52.0,1.0172000000000002e-08,8e-07,-6.717e-09
27,54.0,1.5448999999999998e-08,-4.7e-06,-6.634e-09
28,56.0,2.1383e-08,-2.1e-06,-6.804e-09
29,58.0,2.6892e-08,-9e-07,-7.158e-09
30,60.0,3.4244e-08,-1.6e-06,-7.000999999999999e-09
31,62.0,4.3499e-08,-3.7e-06,-4.593e-09
32,64.0,5.8823e-08,-4.1e-06,-3.638e-09
33,66.0,7.9178e-08,-2e-06,-3.8169999999999995e-09
34,68.0,1.0430199999999999e-07,-6e-07,-5.5159999999999996e-09
35,70.0,1.34396e-07,-4.6e-06,-6.621e-09
36,72.0,1.73685e-07,-4.8e-06,-7.124000000000001e-09
37,74.0,1.75391e-07,-8e-07,-4.198e-09
38,76.0,2.332e-07,-4.1e-06,-7.865e-09
39,78.0,2.60625e-07,-2.6e-06,-6.7859999999999995e-09
40,80.0,3.01797e-07,-1.6e-06,-8.556e-09
41,82.0,3.5038499999999997e-07,-1.1e-06,-8.959000000000001e-09
42,84.0,4.07316e-07,-1.3e-06,-8.89e-09
43,86.0,4.66202e-07,-3e-07,-1.0828e-08
44,88.0,5.233890000000001e-07,-1e-07,-1.2287999999999999e-08
45,90.0,5.868050000000001e-07,-2e-06,-1.3733e-08
46,92.0,6.633249999999999e-07,1e-06,-1.4569000000000001e-08
47,94.0,7.41383e-07,1e-06,-1.4404999999999999e-08
48,96.0,8.0916e-07,-2e-07,-1.3902000000000001e-08
49,98.0,8.851699999999999e-07,1.2e-06,-1.3209999999999999e-08
50,100.0,1.0088e-06,-2.7e-06,-1.9561e-08
51,-7e-07,-2.19e-09,10.0,3.795e-09
52,2.0,-4.24e-10,10.0,3.734e-09
53,4.0,-1.318e-09,10.0,1.799e-09
54,6.0,-1.583e-09,10.0,1.0150000000000001e-09
55,8.0,-4.4e-10,10.0,2.4529999999999997e-09
56,10.0,2.55e-10,10.0,3.217e-09
57,12.0,-9.08e-10,10.0,1.744e-09
58,14.0,-1.3789999999999999e-09,10.0,8.94e-10
59,16.0,-4.08e-10,10.0,2.116e-09
60,18.0,3.74e-10,10.0,2.868e-09
61,20.0,-5.97e-10,10.0,1.669e-09
62,22.0,-1.132e-09,10.0,7.78e-10
63,24.0,-1.79e-10,10.0,2.044e-09
64,26.0,5.59e-10,10.0,2.773e-09
65,28.0,-4.9e-10,10.0,1.386e-09
66,30.0,-9.36e-10,10.0,5.73e-10
67,32.0,-9.2e-11,10.0,1.7199999999999999e-09
68,34.0,5.89e-10,10.0,2.411e-09
69,36.0,-1.91e-10,10.0,1.4330000000000001e-09
70,38.0,-6.53e-10,10.0,6.47e-10
71,40.0,1.52e-10,10.0,1.55e-09
72,42.0,9.74e-10,10.0,2.461e-09
73,44.0,-1.26e-10,10.0,8.84e-10
74,46.0,-3.46e-10,10.0,4.34e-10
75,48.0,6.5e-10,10.0,1.5359999999999999e-09
76,50.0,1.154e-09,10.0,1.7299999999999998e-09
77,52.0,3.2e-10,10.0,1.78e-10
78,54.0,1.22e-10,10.0,-6.6e-10
79,56.0,1.407e-09,10.0,6.47e-10
80,58.0,2.422e-09,10.0,1.094e-09
81,60.0,1.7119999999999999e-09,10.0,-7.48e-10
82,62.0,1.7330000000000001e-09,10.0,-2.025e-09
83,64.0,3.921e-09,10.0,-8.31e-10
84,66.0,6.2390000000000005e-09,10.0,4.6e-11
85,68.0,7.531e-09,10.0,-1.293e-09
86,70.0,1.1993e-08,10.0,-2.356e-09
87,72.0,1.9565e-08,10.0,-1.432e-09
88,74.0,2.9132e-08,10.0,-1.107e-09
89,76.0,4.0134e-08,10.0,-2.8239999999999998e-09
90,78.0,5.6602e-08,10.0,-3.786e-09
91,80.0,7.8388e-08,10.0,-3.4100000000000004e-09
92,82.0,1.05388e-07,10.0,-3.556e-09
93,84.0,1.3527e-07,10.0,-6.139e-09
94,86.0,1.77804e-07,10.0,-8.982e-09
95,88.0,2.2546299999999999e-07,10.0,-1.0278000000000001e-08
96,90.0,2.77765e-07,10.0,-1.2255e-08
97,92.0,2.92077e-07,10.0,-6.2709999999999995e-09
98,94.0,3.40283e-07,10.0,-7.948e-09
99,96.0,4.0042299999999996e-07,10.0,-9.684000000000001e-09
100,98.0,4.66878e-07,10.0,-9.683e-09
101,100.0,5.33737e-07,10.0,-1.0095e-08
102,1.2e-06,-2.7600000000000004e-09,20.0,5.243e-09
103,2.0,-2.44e-09,20.0,2.606e-09
104,4.0,-2.171e-09,20.0,1.187e-09
105,6.0,-5.31e-10,20.0,2.165e-09
106,8.0,4.91e-10,20.0,2.554e-09
107,10.0,-4.7e-10,20.0,8.23e-10
108,12.0,-7.89e-10,20.0,-1.91e-10
109,14.0,5.14e-10,20.0,8.83e-10
110,16.0,1.416e-09,20.0,1.5279999999999999e-09
111,18.0,3.39e-10,19.99999,1.01e-10
112,20.0,-1.86e-10,19.99999,-7.43e-10
113,22.0,9.38e-10,20.0,8.76e-10
114,24.0,1.4729999999999998e-09,20.0,1.5310000000000002e-09
115,26.0,3.04e-10,20.0,8.3e-11
116,28.0,-2.64e-10,20.0,-6.7e-10
117,30.0,8.56e-10,20.0,8.28e-10
118,32.0,1.5609999999999999e-09,20.0,1.6059999999999998e-09
119,34.0,4.52e-10,20.0,2.24e-10
120,36.0,-1.62e-10,20.0,-5.86e-10
121,38.0,8.88e-10,20.0,7.7e-10
122,40.0,1.542e-09,20.0,1.5720000000000002e-09
123,42.0,3.52e-10,20.0,2.4e-11
124,44.0,-8.3e-11,20.0,-6.89e-10
125,46.0,9.28e-10,20.0,8.03e-10
126,48.0,1.7000000000000001e-09,20.0,1.599e-09
127,50.0,5.08e-10,20.0,1.58e-10
128,52.0,3.3e-11,20.0,-5.97e-10
129,54.0,9.56e-10,20.0,6.03e-10
130,56.0,1.692e-09,19.99999,1.2720000000000002e-09
131,58.0,8.09e-10,20.0,-6e-11
132,60.0,3.15e-10,20.0,-1.0340000000000002e-09
133,62.0,1.6619999999999998e-09,20.0,2.87e-10
134,64.0,2.7269999999999998e-09,20.0,5.82e-10
135,66.0,2.103e-09,20.0,-1.5220000000000001e-09
136,68.0,2.461e-09,20.0,-3.09e-09
137,70.0,4.841e-09,20.0,-2.674e-09
138,72.0,7.562e-09,20.0,-3.123e-09
139,74.0,8.997000000000001e-09,20.0,-5.701000000000001e-09
140,76.0,1.1903999999999999e-08,20.0,-7.033e-09
141,78.0,1.6828e-08,19.99999,-5.229e-09
142,80.0,2.3409e-08,19.99999,-4.15e-09
143,82.0,3.0805e-08,19.99999,-3.884e-09
144,84.0,4.1806000000000004e-08,19.99999,-3.926e-09
145,86.0,5.7348e-08,20.0,-2.88e-09
146,88.0,7.637e-08,19.99999,-2.492e-09
147,90.0,9.908e-08,19.99999,-3.785e-09
148,92.0,1.30963e-07,20.0,-6.231e-09
149,94.0,1.70124e-07,19.99999,-6.302e-09
150,96.0,2.13708e-07,19.99999,-7.671999999999999e-09
151,98.0,2.65668e-07,19.99999,-1.1182e-08
152,100.0,2.83804e-07,20.0,-6.105000000000001e-09
153,-4e-07,-5.191e-09,30.0,3.449e-09
154,2.0,-2.406e-09,30.0,3.634e-09
155,4.0,-1.482e-09,30.0,2.8810000000000003e-09
156,6.0,-1.7480000000000002e-09,30.0,1.275e-09
157,8.0,-1.5049999999999999e-09,30.0,5.56e-10
158,10.0,-1.8e-10,30.0,1.444e-09
159,12.0,7.14e-10,30.0,1.7549999999999998e-09
160,14.0,7.2e-11,30.0,-2.43e-10
161,16.0,-8e-11,30.0,-1.283e-09
162,18.0,1.184e-09,30.0,2e-11
163,20.0,1.985e-09,30.0,7.97e-10
164,22.0,7.04e-10,30.0,-7.33e-10
165,24.0,2.13e-10,30.0,-1.3730000000000001e-09
166,26.0,1.292e-09,30.0,1.8e-10
167,28.0,1.895e-09,30.0,1.0050000000000001e-09
168,30.0,6.18e-10,30.0,-4.45e-10
169,32.0,7.2e-11,30.0,-1.278e-09
170,34.0,1.0090000000000001e-09,30.0,1.84e-10
171,36.0,1.658e-09,30.0,9.48e-10
172,38.0,7.57e-10,30.0,-7.7e-11
173,40.0,2.85e-10,30.0,-9.68e-10
174,42.0,9.85e-10,30.0,1.34e-10
175,44.0,1.6650000000000001e-09,30.0,8.86e-10
176,46.0,7.46e-10,30.0,-9.3e-11
177,48.0,2.05e-10,30.0,-9.35e-10
178,50.0,9.61e-10,30.0,2.06e-10
179,52.0,1.5820000000000001e-09,30.0,7.52e-10
180,54.0,8.84e-10,30.0,6.1e-11
181,56.0,4.61e-10,30.0,-4.58e-10
182,58.0,9.16e-10,30.0,9e-12
183,60.0,1.4729999999999998e-09,30.0,3.88e-10
184,62.0,1.2629999999999999e-09,30.0,2.02e-10
185,64.0,7.79e-10,30.0,-7.46e-10
186,66.0,1.072e-09,30.0,-8.02e-10
187,68.0,1.996e-09,30.0,-1.44e-10
188,70.0,2.4099999999999997e-09,30.0,-4.45e-10
189,72.0,2.208e-09,30.0,-2.149e-09
190,74.0,3.375e-09,30.0,-2.752e-09
191,76.0,5.302e-09,30.0,-3.0409999999999997e-09
192,78.0,7.010999999999999e-09,30.0,-4.543e-09
193,80.0,9.224e-09,30.0,-7.5e-09
194,82.0,1.3043e-08,30.0,-9.741e-09
195,84.0,1.9023e-08,30.0,-1.0378e-08
196,86.0,2.5814e-08,30.0,-1.0529e-08
197,88.0,3.346e-08,30.0,-1.3068e-08
198,90.0,4.4105e-08,30.0,-1.4333e-08
199,92.0,5.8192e-08,30.0,-1.2942e-08
200,94.0,7.4841e-08,30.0,-1.1092999999999999e-08
201,96.0,9.0882e-08,30.0,-9.438e-09
202,98.0,1.16924e-07,30.0,-7.986e-09
203,100.0,1.48718e-07,30.0,-6.441e-09
204,8e-07,-4.6860000000000006e-09,40.0,4.181e-09
205,2.0,-3.4810000000000003e-09,40.0,2.516e-09
206,3.99999,-1.753e-09,40.0,3.0170000000000002e-09
207,6.0,-9.08e-10,40.0,2.814e-09
208,8.0,-1.45e-09,40.0,1.165e-09
209,10.0,-1.309e-09,40.0,-2.5e-11
210,12.0,4.86e-10,40.0,8.44e-10
211,14.0,1.651e-09,40.0,1.149e-09
212,16.0,7.36e-10,40.0,-6.56e-10
213,18.0,3.69e-10,40.0,-1.7299999999999998e-09
214,20.0,1.603e-09,40.0,-3.09e-10
215,22.0,2.311e-09,40.0,5.06e-10
216,24.0,1.055e-09,40.0,-1.127e-09
217,26.0,6.38e-10,40.0,-1.8679999999999998e-09
218,28.0,1.6309999999999998e-09,40.0,-2.7e-10
219,30.0,2.308e-09,40.0,6.14e-10
220,32.0,1.071e-09,40.0,-7.52e-10
221,34.0,4.86e-10,40.0,-1.4480000000000002e-09
222,36.0,1.343e-09,40.0,-1.87e-10
223,38.0,2.047e-09,40.0,7.02e-10
224,40.0,9.3e-10,40.0,-5.73e-10
225,42.0,4.16e-10,40.0,-1.502e-09
226,44.0,1.4699999999999999e-09,40.0,-2.9e-11
227,46.0,2.191e-09,40.0,8.64e-10
228,48.0,9.84e-10,40.0,-6.32e-10
229,50.0,3.82e-10,40.0,-1.381e-09
230,52.0,1.393e-09,40.0,1.87e-10
231,54.0,2.062e-09,40.0,1.105e-09
232,56.0,9.24e-10,40.0,-3.39e-10
233,58.0,3.74e-10,40.0,-1.1409999999999999e-09
234,60.0,1.203e-09,40.0,1.28e-10
235,62.0,1.888e-09,40.0,9.22e-10
236,64.0,8.17e-10,40.0,-2.64e-10
237,66.0,3.84e-10,40.0,-1.155e-09
238,68.0,1.3969999999999998e-09,40.0,2.54e-10
239,70.0,2.248e-09,40.0,8.83e-10
240,72.0,1.385e-09,40.0,-5.94e-10
241,74.0,1.068e-09,40.0,-1.6980000000000001e-09
242,76.0,2.327e-09,40.0,-9.46e-10
243,78.0,3.62e-09,40.0,-9.23e-10
244,80.0,3.7869999999999994e-09,40.0,-2.656e-09
245,82.0,4.948e-09,40.0,-4.811e-09
246,84.0,7.261e-09,40.0,-5.590000000000001e-09
247,86.0,1.0721e-08,40.0,-6.736999999999999e-09
248,88.0,1.3673999999999999e-08,40.0,-9.377e-09
249,90.0,1.7403e-08,40.0,-1.1635e-08
250,92.0,2.4540999999999998e-08,40.0,-1.1834e-08
251,94.0,3.328e-08,40.0,-1.232e-08
252,96.0,4.3484999999999995e-08,40.0,-1.4624999999999999e-08
253,98.0,5.6539e-08,40.0,-1.7109e-08
254,100.0,7.4644e-08,40.0,-1.8653e-08
255,-7e-07,-4.368e-09,50.0,5.633e-09
256,2.0,-2.082e-09,50.0,5.321e-09
257,4.0,-2.5430000000000004e-09,50.0,3.216e-09
258,6.0,-2.535e-09,50.0,1.834e-09
259,8.0,-1.067e-09,50.0,2.843e-09
260,10.0,3.06e-10,50.0,3.0830000000000002e-09
261,12.0,-9.6e-11,50.0,1.029e-09
262,14.0,-9.5e-11,50.0,-2.34e-10
263,16.0,1.105e-09,50.0,5.82e-10
264,18.0,2.07e-09,50.0,1.2709999999999999e-09
265,20.0,1.293e-09,50.0,-5.8e-11
266,22.0,7.65e-10,50.0,-1.088e-09
267,24.0,1.7580000000000001e-09,50.0,1.66e-10
268,26.0,2.554e-09,50.0,9.64e-10
269,28.0,1.598e-09,50.0,-8.3e-11
270,30.0,1.146e-09,50.0,-8.57e-10
271,32.0,1.8310000000000002e-09,50.0,2.8e-11
272,34.0,2.333e-09,50.0,6.83e-10
273,36.0,1.7979999999999998e-09,50.0,3.9e-11
274,38.0,1.31e-09,50.0,-6.3e-10
275,40.0,1.717e-09,50.0,1.29e-10
