,V_Drain,I_Drain,V_Gate,I_Gate
0,5e-07,4.1e-11,0.0,3.4e-11
1,2.0,1.024e-09,-3.2e-06,1.071e-09
2,4.0,-6.9e-11,-8e-07,-4.81e-10
3,6.0,-5.53e-10,2e-07,-1.2260000000000001e-09
4,8.0,5.05e-10,1.1e-06,1.08e-10
5,10.0,1.229e-09,-1.8e-06,9.97e-10
6,12.0,3.05e-10,1.6e-06,-2.89e-10
7,14.0,-1.82e-10,9e-07,-1.047e-09
8,16.0,5.73e-10,-2.6e-06,-7.2e-11
9,18.0,1.165e-09,5e-07,6.68e-10
10,20.0,5.53e-10,-4e-07,-1.97e-10
11,22.0,-7.9e-11,6e-07,-1.126e-09
12,24.0,6.8e-10,-2e-07,-6.4e-11
13,26.0,1.504e-09,-2.1e-06,8.18e-10
14,28.0,6.75e-10,3e-07,-5.02e-10
15,30.0,3.3e-10,0.0,-1.3869999999999999e-09
16,32.0,1.37e-09,-1.9e-06,-5.89e-10
17,34.0,2.33e-09,-1e-06,-2.85e-10
18,36.0,2.568e-09,7e-07,-1.897e-09
19,38.0,3.483e-09,-1.1e-06,-3.849e-09
20,40.0,5.932e-09,-2.5e-06,-5.266e-09
21,42.0,9.549e-09,-3.8e-06,-5.48e-09
22,44.0,1.3822000000000001e-08,1.1e-06,-4.905e-09
23,46.0,1.9824e-08,-2.7e-06,-6.911000000000001e-09
24,48.0,2.9386999999999997e-08,-3.1e-06,-8.338e-09
25,50.0,4.1094e-08,-5.3e-06,-9.991e-09
26,52.0,5.3859000000000006e-08,-6.1e-06,-1.2079e-08
27,54.0,6.889199999999999e-08,-6.4e-06,-1.2899e-08
28,56.0,6.2074e-08,-2.7e-06,-1.2740000000000002e-09
29,58.0,8.879099999999999e-08,-3.9e-06,-4.468e-09
30,60.0,1.18116e-07,-4.2e-06,-4.288e-09
31,62.0,1.5006e-07,-7.3e-06,-3.806e-09
32,64.0,1.8221e-07,-4.3e-06,-5.3349999999999995e-09
33,66.0,1.95252e-07,1.5e-06,3.71e-10
34,68.0,2.22024e-07,1.6e-06,-4.41e-10
35,70.0,2.7465e-07,-3.4e-06,-3.73e-09
36,72.0,3.04399e-07,-2.1e-06,-1.7969999999999999e-09
37,74.0,3.4108e-07,1.8e-06,-2.9620000000000003e-09
38,76.0,3.87263e-07,-2e-07,-4.529e-09
39,78.0,4.36763e-07,-2.7e-06,-4.876e-09
40,80.0,4.84689e-07,1e-06,-5.551e-09
41,82.0,5.39486e-07,-2.9e-06,-7.35e-09
42,84.0,5.92919e-07,1.5e-06,-7.667e-09
43,86.0,6.534380000000001e-07,-2e-06,-7.375000000000001e-09
44,88.0,7.15528e-07,1.7e-06,-6.8669999999999996e-09
45,90.0,7.774160000000001e-07,-6e-07,-5.5220000000000006e-09
46,92.0,8.412720000000001e-07,-2.8e-06,-6.2770000000000006e-09
47,94.0,9.105e-07,-1.8e-06,-5.434e-09
48,96.0,1.00589e-06,-5.9e-06,-9.826e-09
49,98.0,1.10456e-06,-2.4e-06,-1.2462e-08
50,100.0,1.19617e-06,-2.9e-06,-1.5088e-08
51,-1.6e-06,-1.866e-09,10.0,2.535e-09
52,2.0,-1.38e-10,10.0,2.441e-09
53,4.0,-8.1e-10,10.0,3.42e-10
54,6.0,-8.98e-10,10.0,-4.62e-10
55,8.0,3.52e-10,10.0,8.39e-10
56,10.0,1.095e-09,10.0,1.648e-09
57,12.0,-1.4e-11,10.0,-7.1e-11
58,14.0,-4.8e-10,10.0,-8.92e-10
59,16.0,6.42e-10,10.0,4.92e-10
60,18.0,1.358e-09,10.0,1.474e-09
