,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,60.0,1.58419e-07,-20.0,-1.29e-09,1.58419e-07,0.0003980188437750153,,
1,60.0,1.20776e-07,-18.0,2.128e-09,1.20776e-07,0.0003475284161043525,,
2,60.0,9.0577e-08,-16.0,5.204999999999999e-09,9.0577e-08,0.00030096013024983893,,
3,60.0,6.4164e-08,-14.0,4.777e-09,6.4164e-08,0.00025330613889126336,,
4,60.0,4.2109e-08,-12.0,3.533e-09,4.2109e-08,0.00020520477577288496,,
5,60.0,2.7115e-08,-10.0,4.082e-09,2.7115e-08,0.00016466632928440473,,
6,60.0,1.6936e-08,-8.0,4.533e-09,1.6936e-08,0.0001301383878799795,,
7,60.0,9.42e-09,-6.0,5.153e-09,9.42e-09,9.705668446840742e-05,,
8,60.0,1.9e-10,-4.00001,1.0859000000000001e-08,1.9e-10,1.3784048752090222e-05,,
9,60.0,-4.7339999999999996e-09,-2.0,1.0536000000000001e-08,4.7339999999999996e-09,6.880406964707828e-05,,
10,60.0,-7.267e-09,1.8e-06,1.2139e-08,7.267e-09,8.5246700815926e-05,,
11,60.0,-4.378e-09,2.0,5.845e-09,4.378e-09,6.616645675869307e-05,,
12,60.0,-3.609e-09,4.0,6.105000000000001e-09,3.609e-09,6.007495318350236e-05,,
13,60.0,-6.536999999999999e-09,5.99999,8.853e-09,6.536999999999999e-09,8.085171612278863e-05,,
14,60.0,-4.04e-09,8.0,6.091e-09,4.04e-09,6.356099432828282e-05,,
15,60.0,-2.414e-09,10.0,7.2389999999999995e-09,2.414e-09,4.913247398615299e-05,,
16,60.0,-2.7300000000000003e-09,12.0,6.396e-09,2.7300000000000003e-09,5.224940191045253e-05,,
17,60.0,-2.6769999999999998e-09,14.0,5.968e-09,2.6769999999999998e-09,5.173973328110612e-05,,
18,60.0,-2.582e-09,16.0,8.481e-09,2.582e-09,5.081338406365e-05,,
19,60.0,-2.314e-09,18.0,7.275000000000001e-09,2.314e-09,4.810405388322277e-05,,
20,60.0,-1.146e-09,20.0,8.533e-09,1.146e-09,3.385262175962151e-05,,
21,60.0,-1e-09,22.0,8.433e-09,1e-09,3.1622776601683795e-05,,
22,60.0,-9.31e-10,24.0,7.877e-09,9.31e-10,3.0512292604784713e-05,,
23,60.0,-1.011e-09,26.0,5.946e-09,1.011e-09,3.179622619116929e-05,,
24,60.0,2.86e-10,28.0,6.534e-09,2.86e-10,1.6911534525287762e-05,,
25,60.0,-1.64e-10,30.0,8.123000000000001e-09,1.64e-10,1.2806248474865697e-05,,
26,60.0,5.91e-10,32.0,6.26e-09,5.91e-10,2.4310491562286436e-05,,
27,60.0,1.726e-09,34.0,7.259e-09,1.726e-09,4.1545156155681975e-05,,
28,60.0,1.783e-09,36.0,6.908999999999999e-09,1.783e-09,4.222558466143482e-05,,
29,60.0,9.22e-10,38.0,5.273e-09,9.22e-10,3.0364452901377953e-05,,
30,60.0,1.587e-09,40.0,5.745e-09,1.587e-09,3.983716857408418e-05,,
31,60.0,2.413e-09,42.0,6.508e-09,2.413e-09,4.912229636326054e-05,,
32,60.0,2.853e-09,44.0,6.7000000000000004e-09,2.853e-09,5.3413481444294565e-05,,
33,60.0,2.094e-09,46.0,5.366e-09,2.094e-09,4.57602447545902e-05,,
34,60.0,2.505e-09,48.0,5.756e-09,2.505e-09,5.004997502496879e-05,,
35,60.0,4.137e-09,50.0,7.493999999999999e-09,4.137e-09,6.431951492354401e-05,,
36,60.0,3.599e-09,52.0,6.5220000000000004e-09,3.599e-09,5.999166608788257e-05,,
37,60.0,3.2940000000000004e-09,54.0,5.691e-09,3.2940000000000004e-09,5.739337940912698e-05,,
38,60.0,3.035e-09,56.0,4.967e-09,3.035e-09,5.5090834083357275e-05,,
39,60.0,3.816e-09,58.0,6.070999999999999e-09,3.816e-09,6.1773780845922e-05,,
40,60.0,4.727e-09,60.0,7.062000000000001e-09,4.727e-09,6.875318174455637e-05,,
41,60.0,4.561e-09,62.0,6.6539999999999996e-09,4.561e-09,6.753517601961219e-05,,
42,60.0,3.986e-09,64.0,6.221999999999999e-09,3.986e-09,6.313477647065838e-05,,
43,60.0,3.673e-09,66.0,5.482e-09,3.673e-09,6.060528029800704e-05,,
44,60.0,3.726e-09,68.0,6.129e-09,3.726e-09,6.104096984812741e-05,,
45,60.0,4.4319999999999996e-09,70.0,7.216e-09,4.4319999999999996e-09,6.657326790837295e-05,,
46,60.0,4.999e-09,72.0,7.928e-09,4.999e-09,7.070360669725414e-05,,
47,60.0,4.098e-09,74.0,7.227e-09,4.098e-09,6.401562309311689e-05,,
