 ,Mobility,Vth,Coeff. Det.,I on/off
N-type,1.4053126078858734e-05,19.983420462132813,1.0,1.000000E+02
N-type,5.5788592520993575e-05,51.856076022310965,0.9983507731640644,1.000000E+02
N-type,8.75218136135496e-05,62.001100000000015,1.0,1.000000E+02
N-type,3.911222993940689e-05,47.20139139789837,0.9905779912911662,1.000000E+02
N-type,0.00014680381371344505,62.01686045117517,1.0,1.000000E+02
P-type,0.002600959534173545,-49.29840314102824,0.9938228065117543,1.000000E+05
P-type,0.0035252760345289794,-46.43454943764374,0.9916439622842743,1.000000E+04
P-type,0.0034283551886843417,-38.77661105417565,0.9991377853497379,1.000000E+04
P-type,0.0038601956811397946,-39.215102956477764,0.9989143962730817,1.000000E+04
P-type,0.003597966089087865,-34.977080964073096,0.9972187876436411,1.000000E+04
