,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,60.0,1.08476e-07,-20.0,-1.0209999999999999e-09,1.08476e-07,0.00032935694922075045,,
1,60.0,7.6438e-08,-18.0,3.458e-09,7.6438e-08,0.0002764742302638711,,
2,60.0,5.1454000000000005e-08,-16.0,5.2029999999999995e-09,5.1454000000000005e-08,0.00022683474160718856,,
3,60.0,3.4122e-08,-14.0,5.363e-09,3.4122e-08,0.00018472141186121332,,
4,60.0,2.0939999999999998e-08,-12.0,4.218e-09,2.0939999999999998e-08,0.00014470659971127785,,
5,60.0,1.3275e-08,-10.0,5.1170000000000004e-09,1.3275e-08,0.00011521718621802912,,
6,60.0,8.258e-09,-8.0,5.777e-09,8.258e-09,9.087353850269065e-05,,
7,60.0,3.974e-09,-6.0,5.466e-09,3.974e-09,6.303967004989795e-05,,
8,60.0,1.98e-10,-4.0,4.134e-09,1.98e-10,1.4071247279470288e-05,,
9,60.0,-4.19e-09,-2.0,1.0666e-08,4.19e-09,6.473020933072903e-05,,
10,60.0,-6.279e-09,7.9e-06,1.3532e-08,6.279e-09,7.924014134263013e-05,,
11,60.0,-3.966e-09,2.0,8.097e-09,3.966e-09,6.297618597533515e-05,,
12,60.0,-4.312e-09,4.0,5.872e-09,4.312e-09,6.566582063752801e-05,,
13,60.0,-3.6759999999999997e-09,6.0,6.623e-09,3.6759999999999997e-09,6.063002556489647e-05,,
14,60.0,-3.257e-09,7.9999899999999995,6.905e-09,3.257e-09,5.7070132293521096e-05,,
15,60.0,-3.6969999999999995e-09,10.0,5.943000000000001e-09,3.6969999999999995e-09,6.080296045424104e-05,,
16,60.0,-3.499e-09,12.0,5.306e-09,3.499e-09,5.9152345684681006e-05,,
17,60.0,-2.5569999999999998e-09,14.0,6.543e-09,2.5569999999999998e-09,5.056678751908212e-05,,
18,60.0,-1.795e-09,16.0,7.199e-09,1.795e-09,4.236744032862972e-05,,
19,60.0,-1.7369999999999999e-09,18.0,6.997e-09,1.7369999999999999e-09,4.167733196834941e-05,,
20,60.0,-2.427e-09,20.0,6.16e-09,2.427e-09,4.926459174701441e-05,,
21,60.0,-1.4960000000000002e-09,22.0,7.375000000000001e-09,1.4960000000000002e-09,3.8678159211627434e-05,,
22,60.0,-2.43e-10,24.0,8.733999999999999e-09,2.43e-10,1.5588457268119894e-05,,
23,60.0,-1.6e-10,26.0,7.381e-09,1.6e-10,1.2649110640673517e-05,,
24,60.0,-6.75e-10,28.0,5.553e-09,6.75e-10,2.5980762113533162e-05,,
25,60.0,1.45e-10,30.0,5.5110000000000005e-09,1.45e-10,1.2041594578792296e-05,,
26,60.0,8.83e-10,32.0,6.4790000000000005e-09,8.83e-10,2.971531591620725e-05,,
27,60.0,1.468e-09,34.0,6.765e-09,1.468e-09,3.8314488121336034e-05,,
28,60.0,8.56e-10,36.0,5.703000000000001e-09,8.56e-10,2.9257477676655586e-05,,
