,V_Drain,I_Drain,V_Gate,I_Gate
0,-9e-07,3.93e-10,0.0,-1202.4
1,-2.0,-8.14e-10,2.18e-10,0.0
2,-4.0,-1.436e-09,-6.27e-10,478.4689
3,-6.0,-6.18e-10,3.5e-10,3428.57
4,-8.0,1.2e-11,1.1119999999999999e-09,-1528.78
5,-10.0,-7.77e-10,4.8e-11,-29166.67
6,-12.0,-1.198e-09,-5.12e-10,-3515.62
7,-14.0,-7.74e-10,6.7e-11,13432.84
8,-16.0,-2.7e-10,7.02e-10,-1994.3
9,-18.0,-7.8e-10,6.5e-11,7692.31
10,-20.0,-1.451e-09,-8.46e-10,-1654.85
11,-22.0,-7.25e-10,1.68e-10,-1785.71
12,-24.0,-1e-10,1.049e-09,-2383.22
13,-26.0,-1.008e-09,-4.9e-11,2040.82
14,-28.0,-1.474e-09,-6.98e-10,-3724.93
15,-30.0,-9.22e-10,1.01e-10,13861.39
16,-32.0,-5.33e-10,7.33e-10,-545.70259
17,-34.0,-1.026e-09,1.86e-10,12365.59
18,-36.0,-1.591e-09,-4.65e-10,-2795.7
19,-38.0,-1.182e-09,3.02e-10,-7284.77
20,-40.0,-5.97e-10,1.216e-09,-82.23684
21,-42.0,-1.555e-09,3.29e-10,3343.47
22,-44.0,-2.299e-09,-1.61e-10,-6832.3
23,-46.0,-1.924e-09,9.51e-10,105.15247
24,-48.0,-1.693e-09,1.9839999999999998e-09,-201.6129
25,-50.0,-2.6939999999999996e-09,1.6e-09,125.0
26,-52.0,-3.5270000000000003e-09,1.509e-09,265.07621
27,-54.0,-3.7819999999999996e-09,2.434e-09,0.0
28,-56.0,-3.976e-09,3.683e-09,135.75888999999998
29,-58.0,-4.751e-09,3.569e-09,168.11432
30,-60.0,-5.876e-09,3.342e-09,388.98863
31,-62.0,-6.0389999999999995e-09,4.954e-09,-20.18571
32,-64.0,-5.998e-09,6.58e-09,-45.59271
33,-66.0,-7.534e-09,6.147e-09,325.36197000000004
34,-68.0,-8.7e-09,6.323e-09,442.82777000000004
35,-70.0,-8.928e-09,7.752e-09,-103.19917
36,-72.0,-9.263e-09,8.507e-09,223.34547999999998
37,-74.0,-1.029e-08,6.9479999999999996e-09,417.3863
38,-76.0,-1.1473e-08,5.898e-09,491.6921
39,-78.0,-1.1979e-08,6.232e-09,-240.6932
40,-80.0,-1.2012e-08,7.240999999999999e-09,96.67173000000001
41,-82.0,-1.256e-08,7.522999999999999e-09,265.85139
42,-84.0,-1.4011e-08,6.406e-09,-93.66219
43,-86.0,-1.4714e-08,6.517e-09,460.33450999999997
44,-88.0,-1.4283999999999999e-08,7.793e-09,205.31246000000002
45,-90.0,-1.4817e-08,8.1e-09,481.48148
46,-92.0,-1.6086e-08,6.878e-09,392.55598
47,-94.0,-1.3358000000000001e-08,5.848e-09,205.19836
48,-96.0,-1.5576e-08,6.1660000000000004e-09,308.14142000000004
49,-98.0,-1.6373e-08,6.551e-09,366.35627999999997
50,-100.0,-1.6405e-08,7.965e-09,426.86755
51,4e-07,6.17e-10,-1.815e-09,5509640000.0
52,-2.0,-1.88e-10,-7.1e-10,14084510000.0
53,-4.0,2.8e-11,3.84e-10,-26041670000.0
54,-6.0,-8.27e-10,9.93e-10,-10070490000.0
55,-8.000010000000001,-4.7560000000000005e-09,3.1430000000000004e-09,-3181670000.0
56,-10.0,-5.843000000000001e-09,4.108e-09,-2434270000.0
57,-12.0,-5.037000000000001e-09,5.244e-09,-1906940000.0
58,-14.000010000000001,-4.312e-09,4.997e-09,-2001200000.0
59,-16.0,-4.353e-09,2.681e-09,-3729950000.0
60,-18.0,-3.4279999999999997e-09,2.376e-09,-4208750000.0
61,-20.0,-2.155e-09,2.413e-09,-4144220000.0
62,-22.0,-2.129e-09,1.386e-09,-7215010000.0
63,-24.0,-2.304e-09,5.06e-10,-19762850000.0
64,-26.0,-1.844e-09,6.96e-10,-14367820000.0
65,-28.0,-1.163e-09,1.2089999999999999e-09,-8271300000.0
66,-30.0,-1.2260000000000001e-09,9.58e-10,-10438410000.0
67,-32.0,-1.888e-09,-9.6e-11,104166670000.0
68,-34.0,-1.437e-09,2.56e-10,-39062500000.0
69,-36.0,-9e-10,8.34e-10,-11990410000.0
70,-38.0,-1.2609999999999999e-09,3.67e-10,-27247960000.0
71,-40.0,-1.7060000000000001e-09,-2.81e-10,35587190000.0
72,-42.0,-1.367e-09,4e-11,-250000000000.0
73,-44.0,-9e-10,7.31e-10,-13679890000.0
74,-46.0,-9.15e-10,6.21e-10,-16103060000.0
75,-48.0,-1.7060000000000001e-09,-4.06e-10,24630540000.0
76,-50.0,-1.794e-09,-4.72e-10,21186440000.0
77,-52.0,-9.37e-10,7.05e-10,-14184400000.0
78,-54.0,-8.81e-10,7.23e-10,-13831260000.0
79,-56.0,-1.862e-09,-3.56e-10,28089890000.0
80,-58.0,-1.8679999999999998e-09,-1.79e-10,55865920000.0
81,-60.0,-1.1509999999999999e-09,9.37e-10,-10672360000.0
82,-62.0,-1.276e-09,1.2820000000000001e-09,-7800310000.0
83,-64.0,-2.454e-09,2.31e-10,-43290040000.0
84,-66.0,-3.0830000000000002e-09,2.25e-10,-44444440000.0
85,-68.0,-2.5109999999999997e-09,2.041e-09,-4899560000.0
86,-70.0,-2.483e-09,3.342e-09,-2992220000.0
87,-72.0,-4.5210000000000004e-09,2.347e-09,-4260760000.0
88,-74.0,-5.436e-09,2.5219999999999998e-09,-3965110000.0
89,-76.0,-5.185999999999999e-09,4.706e-09,-2124950000.0
90,-78.0,-5.773000000000001e-09,5.940999999999999e-09,-1683220000.0
91,-80.0,-7.709e-09,5.432e-09,-1840940000.0
92,-82.0,-9.073999999999999e-09,5.844e-09,-1711160000.0
93,-84.0,-8.875e-09,8.235e-09,-1214330000.0
94,-86.0,-9.057e-09,9.852e-09,-1015020000.0
95,-88.0,-1.1289e-08,7.652999999999999e-09,-1306680000.0
96,-90.0,-1.2553000000000002e-08,5.577e-09,-1793080000.0
97,-92.0,-1.2395000000000001e-08,7.019e-09,-1424700000.0
98,-94.0,-1.2567999999999999e-08,8.218e-09,-1216840000.0
99,-96.0,-1.42e-08,6.902e-09,-1448860000.0
100,-98.0,-1.5526e-08,6.147e-09,-1626810000.0
101,-100.0,-1.4987999999999998e-08,7.686e-09,-1301070000.0
102,-9e-07,1.927e-09,-2.842e-09,7037300000.0
103,-2.0,5.86e-10,-1.24e-10,161290320000.0
104,-4.0,-2.73e-10,-3.62e-10,55248620000.0
105,-6.0,-1.444e-09,-2.69e-10,74349440000.0
106,-8.0,-5.994000000000001e-09,5.281e-09,-3787160000.0
107,-10.000010000000001,-8.077e-09,8.181e-09,-2444690000.0
108,-12.000010000000001,-9.324e-09,8.733999999999999e-09,-2289900000.0
109,-14.000010000000001,-1.0024999999999999e-08,8.084e-09,-2474020000.0
110,-16.00001,-9.505e-09,7.910000000000001e-09,-2528450000.0
111,-18.00001,-7.788e-09,7.715e-09,-2592350000.0
112,-20.00001,-7.170999999999999e-09,6.4280000000000006e-09,-3111390000.0
113,-22.0,-6.647e-09,4.492e-09,-4452360000.0
114,-24.0,-5.192e-09,4.245e-09,-4711430000.0
115,-26.0,-3.927e-09,3.996e-09,-5005010000.0
116,-28.0,-3.69e-09,2.6779999999999996e-09,-7468260000.0
117,-30.0,-3.5470000000000003e-09,1.5379999999999999e-09,-13003900000.0
118,-32.0,-2.994e-09,1.5220000000000001e-09,-13140600000.0
119,-34.0,-2.092e-09,1.923e-09,-10400420000.0
120,-36.0,-2.084e-09,1.508e-09,-13262600000.0
121,-38.0,-2.5069999999999997e-09,4.32e-10,-46296300000.0
122,-40.0,-2.078e-09,7.11e-10,-28129400000.0
123,-42.0,-1.4480000000000002e-09,1.285e-09,-15564200000.0
124,-44.0,-1.7469999999999999e-09,7.36e-10,-27173910000.0
125,-46.0,-2.176e-09,-1.2e-11,1666670000000.0
126,-48.0,-1.9769999999999997e-09,2.23e-10,-89686100000.0
127,-50.0,-1.3070000000000001e-09,9.54e-10,-20964360000.0
128,-52.0,-1.298e-09,8.96e-10,-22321430000.0
129,-54.0,-2.065e-09,-2.42e-10,82644630000.0
130,-56.0,-2.0999999999999998e-09,-3.35e-10,59701490000.0
131,-58.0,-1.142e-09,8.3e-10,-24096390000.0
132,-60.0,-1.239e-09,6.47e-10,-30911900000.0
133,-62.0,-2.032e-09,-2.7e-10,74074070000.0
134,-64.0,-1.885e-09,4e-12,-5000000000000.0
135,-66.0,-1.36e-09,8.78e-10,-22779040000.0
136,-68.0,-1.434e-09,1.039e-09,-19249280000.0
137,-70.0,-2.521e-09,6.9e-11,-289855070000.0
138,-72.0,-2.904e-09,1.48e-10,-135135140000.0
139,-74.0,-2.296e-09,1.725e-09,-11594200000.0
140,-76.0,-2.403e-09,2.62e-09,-7633590000.0
141,-78.0,-4.015e-09,1.583e-09,-12634240000.0
142,-80.0,-4.806e-09,2.09e-09,-9569380000.0
143,-82.0,-4.595e-09,4.038e-09,-4952950000.0
144,-84.0,-5.320000000000001e-09,5.1329999999999995e-09,-3896360000.0
145,-86.0,-7.16e-09,4.733e-09,-4225650000.0
146,-88.0,-8.320999999999999e-09,5.15e-09,-3883500000.0
147,-90.0,-8.188e-09,7.423999999999999e-09,-2693970000.0
148,-92.0,-8.379e-09,9.080000000000001e-09,-2202640000.0
149,-94.0,-1.0544e-08,8.278e-09,-2416040000.0
150,-96.0,-1.1810000000000001e-08,7.873e-09,-2540330000.0
151,-98.0,-1.1389e-08,7.775e-09,-2572350000.0
152,-100.0,-1.1575999999999999e-08,8.144e-09,-2455800000.0
153,1.9e-06,2.381e-09,-1.603e-09,18714910000.0
154,-2.0,-2.43e-10,-1.251e-09,23980820000.0
155,-4.0,-1.89e-10,-3.61e-10,83102490000.0
156,-6.0,-2.706e-09,2.943e-09,-10193680000.0
157,-8.000010000000001,-8.758e-09,7.671e-09,-3910830000.0
158,-10.000010000000001,-1.1956e-08,9.188e-09,-3265130000.0
159,-12.000010000000001,-1.3269e-08,1.0323e-08,-2906130000.0
160,-14.000010000000001,-1.3292999999999999e-08,1.1155999999999999e-08,-2689140000.0
161,-16.0,-1.3407e-08,1.065e-08,-2816900000.0
162,-18.00001,-1.3465e-08,9.059e-09,-3311620000.0
163,-20.0,-1.2468e-08,8.829000000000001e-09,-3397890000.0
164,-22.0,-1.1143000000000001e-08,8.748e-09,-3429360000.0
165,-24.0,-1.0922e-08,7.381e-09,-4064490000.0
166,-26.0,-1.0151e-08,5.678e-09,-5283550000.0
167,-28.0,-8.832e-09,4.996e-09,-6004800000.0
168,-30.0,-7.261e-09,4.78e-09,-6276150000.0
169,-32.0,-6.4900000000000005e-09,3.816e-09,-7861640000.0
170,-34.0,-6.574e-09,2.2120000000000002e-09,-13562390000.0
171,-36.0,-5.872e-09,1.95e-09,-15384620000.0
172,-38.0,-4.805e-09,2.403e-09,-12484390000.0
173,-40.0,-4.535e-09,2.091e-09,-14347200000.0
