 ,Mobility,Vth,Coeff. Det.,I on/off
N-type,7.84E-07,186.9916661,1,1.00E+04
N-type,0.000251482,57.87957568,1,1.00E+03
N-type,1.08E-05,26.49600288,1,1.00E+03
N-type,1.20E-05,37.74190432,0.999599944,1.00E+02
N-type,1.66E-05,105.8034974,1,1.00E+02
P-type,0.001091099,-46.29015861,0.990794521,1.00E+05
P-type,0.001053154,-35.02549612,0.996054026,1.00E+04
P-type,0.001195488,-32.61145643,0.996771942,1.00E+04
