,V_Drain,I_Drain,V_Gate,I_Gate
0,2.6e-06,-2.22e-10,0.0,-632.91139
1,-2.0,-1.459e-09,-8.59e-10,349.24331
2,-4.0,-4.97e-10,7.17e-10,3347.28
3,-6.0,2.33e-10,1.5e-09,333.33333
4,-8.0,-9.89e-10,-2.06e-10,-7281.55
5,-10.0,-1.533e-09,-9.62e-10,103.9501
6,-12.0,-5.65e-10,2.88e-10,-1041.67
7,-14.0,8.4e-11,1.168e-09,-1198.63
8,-16.0,-8.7e-10,-9.3e-11,-22580.65
9,-18.0,-1.4050000000000002e-09,-7.98e-10,-2255.64
10,-20.0,-6.55e-10,2.04e-10,-980.39216
11,-22.0,8.7e-11,1.241e-09,-241.74052999999998
12,-24.0,-1.0340000000000002e-09,-2.63e-10,-3041.83
13,-26.0,-1.716e-09,-1.057e-09,-1135.29
14,-28.0,-7.12e-10,3.04e-10,-5263.16
15,-30.0,-3.8e-11,1.2379999999999999e-09,-80.77544
16,-32.0,-1.174e-09,-1.38e-10,-14492.75
17,-34.0,-1.694e-09,-8.38e-10,-954.65394
18,-36.0,-9.54e-10,2e-10,-4500.0
19,-38.0,-4.87e-10,9.92e-10,-2520.16
20,-40.0,-1.2790000000000002e-09,1.59e-10,10691.82
21,-42.0,-1.784e-09,-3.19e-10,940.43887
22,-44.0,-1.434e-09,4.66e-10,2145.92
23,-46.0,-9.92e-10,1.4380000000000002e-09,-1321.28
24,-48.0,-1.912e-09,8.02e-10,3241.9
25,-50.0,-2.6929999999999997e-09,5.56e-10,359.71223
26,-52.0,-2.6889999999999997e-09,1.436e-09,626.74095
27,-54.0,-2.6729999999999998e-09,2.45e-09,204.08163000000002
28,-56.0,-3.39e-09,2.786e-09,646.08758
29,-58.0,-4.586e-09,2.424e-09,-123.76238000000001
30,-60.0,-5.123e-09,3.068e-09,130.3781
31,-62.0,-5.112e-09,4.782e-09,20.91175
32,-64.0,-5.485e-09,5.717e-09,209.9003
33,-66.0,-7.172e-09,4.985e-09,320.96289
34,-68.0,-8.127e-09,5.351e-09,-448.5143
35,-70.0,-7.868000000000001e-09,7.4470000000000004e-09,161.13871
36,-72.0,-8.276e-09,8.059e-09,347.43765
37,-74.0,-9.903999999999999e-09,6.887999999999999e-09,333.91405
38,-76.0,-1.0941e-08,6.304999999999999e-09,-380.65028
39,-78.0,-1.056e-08,7.467e-09,227.66841000000002
40,-80.0,-1.0701000000000001e-08,8.069e-09,532.9037099999999
41,-82.0,-1.2579e-08,6.513e-09,368.49377999999996
42,-84.0,-1.3772e-08,5.989999999999999e-09,317.19532999999996
43,-86.0,-1.3266e-08,7.586000000000001e-09,395.46533
44,-88.0,-1.3217e-08,8.449e-09,284.05728
45,-90.0,-1.5011e-08,7.0799999999999995e-09,268.36158
46,-92.0,-1.6048e-08,6.618000000000001e-09,151.10305
47,-94.0,-1.5689e-08,8.284e-09,120.71463
48,-96.0,-1.5616000000000002e-08,9.388999999999999e-09,457.98275
49,-98.0,-1.7222999999999998e-08,7.985e-09,513.46274
50,-100.0,-1.821e-08,7.36e-09,448.36957
51,8e-07,2.089e-09,-1.5299999999999999e-09,6535950000.0
52,-2.0,4.08e-10,-2.73e-10,36630040000.0
53,-4.0,-5.62e-10,-9.23e-10,10834240000.0
54,-6.0,-6.2e-10,-9.3e-11,107526880000.0
55,-8.0,-5.81e-10,8.42e-10,-11876480000.0
56,-10.0,-2.8660000000000002e-09,2.691e-09,-3716090000.0
57,-12.0,-5.116000000000001e-09,3.438e-09,-2908670000.0
58,-14.000010000000001,-5.107000000000001e-09,3.556e-09,-2812150000.0
59,-16.0,-3.6790000000000002e-09,3.8329999999999995e-09,-2608920000.0
60,-18.00001,-3.101e-09,2.773e-09,-3606200000.0
61,-20.0,-3.049e-09,1.265e-09,-7905140000.0
62,-22.0,-2.094e-09,1.156e-09,-8650520000.0
63,-24.0,-1.254e-09,1.393e-09,-7178760000.0
64,-26.0,-1.4000000000000001e-09,7.63e-10,-13106160000.0
65,-28.0,-1.79e-09,-6.1e-11,163934430000.0
66,-30.0,-1.446e-09,1.08e-10,-92592590000.0
67,-32.0,-8.3e-10,7.87e-10,-12706480000.0
68,-34.0,-8.74e-10,7.28e-10,-13736260000.0
69,-36.0,-1.5609999999999999e-09,-4.09e-10,24449880000.0
70,-38.0,-1.14e-09,7.2e-11,-138888890000.0
71,-40.0,-6.79e-10,6.49e-10,-15408320000.0
72,-42.0,-1.1e-09,1.4e-11,-714285710000.0
73,-44.0,-1.5279999999999999e-09,-5.37e-10,18621970000.0
74,-46.0,-1.116e-09,2.4e-11,-416666670000.0
75,-48.0,-7.29e-10,5.58e-10,-17921150000.0
76,-50.0,-1.006e-09,1.85e-10,-54054050000.0
77,-52.0,-1.56e-09,-5.28e-10,18939390000.0
