,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,60.0,3.9131e-08,-20.0,-2.66e-10,3.9131e-08,0.00019781557067126947,,
1,60.0,2.3469000000000003e-08,-18.0,-8.61e-10,2.3469000000000003e-08,0.00015319595294915596,,
2,60.0,1.3945e-08,-16.0,-2.17e-10,1.3945e-08,0.00011808894952534721,,
3,60.0,7.288e-09,-14.0,1.4449999999999999e-09,7.288e-09,8.536978388165218e-05,,
4,60.0,2.652e-09,-12.0,2.454e-09,2.652e-09,5.149757275833493e-05,,
5,60.0,-8.5e-10,-10.0,1.2879999999999999e-09,8.5e-10,2.9154759474226502e-05,,
6,60.0,-2.567e-09,-8.000010000000001,5.4e-09,2.567e-09,5.0665570163573605e-05,,
7,60.0,-2.552e-09,-6.0,1.5640000000000002e-09,2.552e-09,5.051732376126035e-05,,
8,60.0,-1.779e-09,-4.0,1.666e-09,1.779e-09,4.217819341792628e-05,,
9,60.0,-2.44e-09,-2.0,1.641e-09,2.44e-09,4.939635614091387e-05,,
10,60.0,-1.1799999999999999e-09,4e-07,3.1480000000000003e-09,1.1799999999999999e-09,3.435112807463533e-05,,
11,60.0,-4.6e-10,1.9999900000000002,4.258e-09,4.6e-10,2.144761058952722e-05,,
12,60.0,-8.77e-10,4.0,2.585e-09,8.77e-10,2.9614185789921694e-05,,
13,60.0,-1.84e-09,6.0,1.26e-09,1.84e-09,4.289522117905444e-05,,
14,60.0,-6.9e-10,8.0,4.184e-09,6.9e-10,2.6267851073127396e-05,,
15,60.0,-1.494e-09,10.0,3.399e-09,1.494e-09,3.865229618017538e-05,,
16,60.0,-6.96e-10,12.0,7.132e-09,6.96e-10,2.6381811916545837e-05,,
17,60.0,-6.1e-11,14.0,1.0699e-08,6.1e-11,7.810249675906655e-06,,
18,60.0,-6.68e-10,16.0,8.392e-09,6.68e-10,2.584569596664017e-05,,
19,60.0,-1.351e-09,18.0,6.9130000000000004e-09,1.351e-09,3.675595189897821e-05,,
