,V_Drain,I_Drain,V_Gate,I_Gate
0,6e-07,6.92e-10,0.0,8.81e-10
1,2.0,-5.6e-11,0.0,-3.7e-10
2,4.0,-5.9e-10,-9e-07,-1.2e-09
3,6.0,4.42e-10,4e-07,1.19e-10
4,8.0,1.203e-09,9e-07,1.024e-09
5,10.0,2.48e-10,7e-07,-3.01e-10
6,12.0,-2.9e-10,1.3e-06,-1.086e-09
7,14.0,5.55e-10,-4e-07,-2.1e-11
8,16.0,1.1759999999999999e-09,-2.3e-06,7.71e-10
9,18.0,4.82e-10,1.7e-06,-1.91e-10
10,20.0,4.2e-11,-7e-07,-8.3e-10
11,22.0,7.22e-10,-1e-06,-3.2e-11
12,24.0,1.386e-09,-7e-07,8.11e-10
13,26.0,5.95e-10,-1.3e-06,-3.57e-10
14,28.0,1.76e-10,-4e-07,-1.1119999999999999e-09
15,30.0,1.0249999999999999e-09,-8e-07,-3.87e-10
16,32.0,1.8140000000000001e-09,-2.9e-06,1.6e-11
17,34.0,1.6869999999999999e-09,-2e-06,-1.04e-09
18,36.0,1.971e-09,-1.8e-06,-2.321e-09
19,38.0,3.253e-09,-3.3e-06,-2.9089999999999998e-09
20,40.0,5.264e-09,-4.5e-06,-3.3929999999999998e-09
21,42.0,7.119e-09,-1.6e-06,-3.348e-09
22,44.0,9.671e-09,-1.7e-06,-2.7429999999999997e-09
23,46.0,1.4368e-08,-2.7e-06,-2.4210000000000002e-09
24,48.0,2.0929000000000002e-08,-5.2e-06,-2.697e-09
25,50.0,2.787e-08,-1.4e-06,-4.255e-09
26,52.0,3.5773e-08,-1.2e-06,-5.828e-09
27,54.0,4.6569000000000005e-08,-3.7e-06,-6.701e-09
28,56.0,5.8897e-08,-1.7e-06,-7.073000000000001e-09
29,58.0,7.3191e-08,-3.6e-06,-8.459e-09
30,60.0,8.532e-08,-5.4e-06,-9.977e-09
31,62.0,1.03086e-07,-6e-06,-1.0780000000000001e-08
32,64.0,1.22352e-07,-4.7e-06,-1.1102e-08
33,66.0,1.1028600000000001e-07,-7e-07,-2.153e-09
34,68.0,1.39377e-07,-8e-07,-3.6449999999999997e-09
35,70.0,1.41016e-07,-7e-07,-1.217e-09
36,72.0,1.74124e-07,-3.7e-06,-3.237e-09
37,74.0,2.0326299999999999e-07,-3.3e-06,-5.181e-09
38,76.0,2.35056e-07,-4.2e-06,-6.367e-09
39,78.0,2.65848e-07,-3.1e-06,-5.698e-09
40,80.0,2.62649e-07,1e-06,-1.504e-09
41,82.0,2.79217e-07,9e-07,-7.09e-10
42,84.0,2.94692e-07,1.9e-06,7.41e-10
43,86.0,3.4228700000000005e-07,-1.3e-06,-4.464e-09
44,88.0,3.57057e-07,0.0,3.03e-10
45,90.0,3.78999e-07,-2.3e-06,-1.04e-09
46,92.0,3.9769e-07,4e-07,-1.148e-09
47,94.0,4.28412e-07,7e-07,-3.5630000000000002e-09
48,96.0,4.54388e-07,-2e-07,-3.407e-09
49,98.0,4.87168e-07,-5e-07,-3.794e-09
50,100.0,5.237080000000001e-07,-2.8e-06,-3.842e-09
51,2e-07,-2.486e-09,10.0,5.78e-10
52,2.0,-5.85e-10,10.0,1.129e-09
53,4.0,5.91e-10,10.0,1.7330000000000001e-09
54,6.0,-3.64e-10,10.0,-6.1e-11
55,8.0,-7.45e-10,10.0,-8.92e-10
56,9.999989999999999,3e-10,10.0,2.94e-10
57,12.0,1.153e-09,10.0,1.026e-09
58,14.0,3.28e-10,10.0,-2.58e-10
59,16.0,-4.08e-10,10.0,-1.252e-09
60,18.0,7.96e-10,10.0,3.53e-10
61,20.0,1.186e-09,10.0,9.02e-10
62,22.0,6.7e-11,10.0,-6.05e-10
63,24.0,-1.07e-10,10.0,-8.56e-10
64,26.0,8.67e-10,10.0,4.97e-10
65,28.0,1.148e-09,10.0,8.1e-10
66,30.0,2.41e-10,10.0,-5.68e-10
67,32.0,-1.78e-10,10.0,-1.116e-09
68,34.0,9.75e-10,10.0,3.62e-10
69,36.0,1.6220000000000002e-09,10.0,1.22e-09
70,38.0,4.49e-10,10.0,-4.57e-10
71,40.0,-1.09e-10,10.0,-1.219e-09
72,42.0,1.123e-09,10.0,2.46e-10
73,44.0,1.794e-09,10.0,1.087e-09
74,46.0,5.19e-10,10.0,-7.46e-10
75,48.0,3.59e-10,10.0,-1.623e-09
76,50.0,1.854e-09,10.0,-4.52e-10
77,52.0,3.118e-09,10.0,-1.1e-10
78,54.0,2.858e-09,10.0,-2.606e-09
79,56.0,3.654e-09,10.0,-4.702e-09
80,58.0,6.815e-09,10.0,-4.8770000000000004e-09
81,60.0,1.0752999999999999e-08,10.0,-3.498e-09
82,62.0,1.3672e-08,10.0,-2.799e-09
83,64.0,1.8912e-08,10.0,-4.131e-09
84,66.0,2.7061000000000003e-08,10.0,-3.5620000000000003e-09
85,68.0,3.7814000000000004e-08,10.0,-3.624e-09
86,70.0,4.7852e-08,10.0,-6.135000000000001e-09
87,72.0,6.1044e-08,10.0,-7.992e-09
88,74.0,7.657e-08,10.0,-7.751e-09
89,76.0,9.4653e-08,10.0,-7.346e-09
90,78.0,1.1064600000000001e-07,10.0,-7.244e-09
91,80.0,1.2944699999999998e-07,10.0,-5.878e-09
92,82.0,1.51617e-07,10.0,-4.793e-09
93,84.0,1.7782900000000002e-07,10.0,-4.8e-09
