,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,-60.0,-2.3780000000000003e-09,20.0,1.5879999999999999e-09,2.3780000000000003e-09,4.876474136094644e-05,,
1,-60.0,-1.966e-09,18.0,-1.402e-09,1.966e-09,4.433959855479073e-05,,
2,-60.0,-8.64e-10,16.0,1.04e-10,8.64e-10,2.939387691339814e-05,,
3,-60.0,1.94e-10,14.0,7.63e-10,1.94e-10,1.392838827718412e-05,,
4,-60.0,-3.9e-10,12.0,-1.2720000000000002e-09,3.9e-10,1.97484176581315e-05,,
5,-60.0,2.88e-10,10.0,2.4e-11,2.88e-10,1.697056274847714e-05,,
6,-60.0,-3.4e-11,8.0,-5.18e-10,3.4e-11,5.830951894845301e-06,,
7,-60.0,-1.024e-09,6.0,-1.681e-09,1.024e-09,3.2e-05,,
8,-60.0,-3.89e-10,4.0,-9.25e-10,3.89e-10,1.972308292331602e-05,,
9,-60.0,-9.22e-10,2.0,-2.324e-09,9.22e-10,3.0364452901377953e-05,,
10,-60.0,1e-12,-2.1e-06,-1.713e-09,1e-12,1e-06,,
11,-60.0,-8.71e-10,-2.0,-2.174e-09,8.71e-10,2.9512709126747412e-05,,
12,-60.0,-6.65e-10,-4.0,-2.278e-09,6.65e-10,2.5787593916455254e-05,,
13,-60.0,-3.04e-10,-6.0,-7.84e-10,3.04e-10,1.7435595774162695e-05,,
14,-60.0,-2.008e-09,-8.0,-8.53e-10,2.008e-09,4.481071300481616e-05,,
15,-60.0,-4.642e-09,-10.0,-1.6039999999999998e-09,4.642e-09,6.81322243875833e-05,,
16,-60.0,-8.246e-09,-12.0,-2.474e-09,8.246e-09,9.080748867797192e-05,,
17,-60.0,-1.146e-08,-14.0,-2.5769999999999997e-09,1.146e-08,0.00010705138952858108,,
18,-60.0,-1.6283e-08,-16.0,-3.151e-09,1.6283e-08,0.0001276048588416601,,
19,-60.0,-2.9691e-08,-18.0,-7.476e-09,2.9691e-08,0.00017231076576929255,,
20,-60.0,-4.8106e-08,-19.99999,-1.1823e-08,4.8106e-08,0.00021933080039064282,,
21,-60.0,-4.5449e-08,-22.0,-8.92e-09,4.5449e-08,0.0002131877107152286,,
22,-60.0,-5.6211e-08,-24.0,-9.288e-09,5.6211e-08,0.00023708859103719015,,
23,-60.0,-6.5268e-08,-26.0,-1.0237000000000001e-08,6.5268e-08,0.0002554760262725252,,
24,-60.0,-7.2354e-08,-28.0,-8.605e-09,7.2354e-08,0.0002689869885329028,,
25,-60.0,-9.006399999999999e-08,-30.0,-8.147e-09,9.006399999999999e-08,0.0003001066477104431,,
26,-60.0,-1.0290800000000001e-07,-32.0,-7.582e-09,1.0290800000000001e-07,0.0003207927679982827,,
27,-60.0,-1.1491500000000001e-07,-34.0,-8.386e-09,1.1491500000000001e-07,0.0003389911503269665,,
28,-60.0,-1.3298e-07,-36.0,-9.063e-09,1.3298e-07,0.00036466422912043346,,
29,-60.0,-1.44925e-07,-38.0,-7.693e-09,1.44925e-07,0.0003806901627307961,,
30,-60.0,-1.66083e-07,-40.0,-6.741000000000001e-09,1.66083e-07,0.00040753282076416865,,
31,-60.0,-1.85348e-07,-42.0,-8.958e-09,1.85348e-07,0.00043052061506970837,,
32,-60.0,-1.9839e-07,-44.0,-8.903e-09,1.9839e-07,0.00044540992355357326,,
33,-60.0,-2.10559e-07,-46.0,-8.114e-09,2.10559e-07,0.0004588670831515375,,
34,-60.0,-2.3081e-07,-48.0,-8.291e-09,2.3081e-07,0.0004804268935020187,,
35,-60.0,-2.4829999999999997e-07,-50.0,-8.409e-09,2.4829999999999997e-07,0.0004982971001320397,,
36,-60.0,-2.70804e-07,-52.0,-1.0395000000000001e-08,2.70804e-07,0.0005203883165483253,,
37,-60.0,-2.8946e-07,-54.0,-1.1789e-08,2.8946e-07,0.0005380148696829856,,
38,-60.0,-2.9915e-07,-56.0,-1.0733e-08,2.9915e-07,0.000546946066810979,,
39,-60.0,-3.15918e-07,-58.0,-1.1119000000000002e-08,3.15918e-07,0.0005620658324431401,,
40,-60.0,-3.33724e-07,-60.0,-1.3476999999999999e-08,3.33724e-07,0.000577688497375532,,
41,-60.0,-3.42919e-07,-62.0,-1.2881e-08,3.42919e-07,0.0005855928619783544,,
42,-60.0,-3.57421e-07,-64.0,-1.3936e-08,3.57421e-07,0.0005978469703862352,,
43,-60.0,-3.93269e-07,-66.0,-3.011e-08,3.93269e-07,0.0006271116328055157,,
44,-60.0,-3.9442500000000004e-07,-68.0,-1.647e-08,3.9442500000000004e-07,0.0006280326424637497,,
45,-60.0,-3.97115e-07,-70.0,-1.5072e-08,3.97115e-07,0.000630170611818736,,
46,-60.0,-4.3488e-07,-72.0002,-3.2304e-08,4.3488e-07,0.0006594543198736361,,
47,-60.0,-4.3547600000000003e-07,-74.0,-2.0086e-08,4.3547600000000003e-07,0.0006599060539197986,,
48,-60.0,-4.29927e-07,-76.0,-1.3543000000000001e-08,4.29927e-07,0.0006556881880894302,,
49,-60.0,-4.28079e-07,-78.0,-1.3224e-08,4.28079e-07,0.0006542774640777413,,
50,-60.0,-4.39645e-07,-80.0,-1.4635e-08,4.39645e-07,0.0006630573127565972,,
51,-60.0,-4.3874899999999995e-07,-82.0,-1.3996e-08,4.3874899999999995e-07,0.0006623813101228023,,
52,-60.0,-4.38055e-07,-84.0,-1.3393e-08,4.38055e-07,0.000661857235361222,,
53,-60.0,-4.4786099999999996e-07,-86.0,-1.3182e-08,4.4786099999999996e-07,0.0006692241776863714,,
54,-60.0,-4.49226e-07,-88.0,-1.5181e-08,4.49226e-07,0.0006702432394287913,,
55,-60.0,-4.50302e-07,-90.0,-1.4525999999999999e-08,4.50302e-07,0.0006710454530059793,,
56,-60.0,-4.59394e-07,-92.0,-1.5621e-08,4.59394e-07,0.0006777861019525261,,
57,-60.0,-4.63322e-07,-94.0,-1.4558e-08,4.63322e-07,0.0006806776035686792,,
58,-60.0,-4.57938e-07,-96.0,-1.2641e-08,4.57938e-07,0.0006767111643825598,,
59,-60.0,-4.63851e-07,-98.0,-1.3884e-08,4.63851e-07,0.0006810660760895377,,
60,-60.0,-4.90227e-07,-100.0,-3.0127e-08,4.90227e-07,0.0007001621240827013,,
61,-64.0,-6.576e-09,20.0,4.7910000000000005e-09,6.576e-09,8.109253973085317e-05,,
62,-64.0,-4.001e-09,18.0,3.929e-09,4.001e-09,6.325345840347387e-05,,
63,-64.0,-2.438e-09,16.0,2.953e-09,2.438e-09,4.937610758251403e-05,,
