Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,300.00000E-009,363.00000E-012,826.44628E+000,108.90000E-018,18.25500E-003,1600,-500.00000E-009,397.00000E-012,-1.25945E+003,-198.50000E-018,18.25500E-003,1600,0.00000E+000
1,1,2,-2.00000E+000,-261.00000E-012,7.66284E+009,522.00026E-012,22.92800E-003,1664,-1.00000E-006,-122.00000E-012,8.19672E+003,122.00000E-018,22.92800E-003,1600,0.00000E+000
1,1,3,-4.00000E+000,-1.20600E-009,3.31675E+009,4.82400E-009,27.40900E-003,1728,-1.50000E-006,-584.00000E-012,2.56849E+003,876.00000E-018,27.40900E-003,1600,0.00000E+000
1,1,4,-6.00000E+000,-3.39500E-009,1.76730E+009,20.37000E-009,31.57500E-003,1728,100.00000E-009,3.12400E-009,32.01024E+000,312.40000E-018,31.57500E-003,1600,0.00000E+000
1,1,5,-8.00001E+000,-3.54700E-009,2.25543E+009,28.37604E-009,35.56200E-003,1728,-100.00000E-009,4.36000E-009,-22.93578E+000,-436.00000E-018,35.56200E-003,1600,0.00000E+000
1,1,6,-10.00000E+000,-3.87800E-009,2.57865E+009,38.78000E-009,39.49700E-003,1728,1.20000E-006,3.28500E-009,365.29680E+000,3.94200E-015,39.49700E-003,1600,0.00000E+000
1,1,7,-12.00000E+000,-3.63600E-009,3.30033E+009,43.63200E-009,43.47800E-003,1728,2.20000E-006,2.05600E-009,1.07004E+003,4.52320E-015,43.47800E-003,1600,0.00000E+000
1,1,8,-14.00000E+000,-2.66700E-009,5.24934E+009,37.33800E-009,47.48600E-003,1728,900.00000E-009,1.96900E-009,457.08481E+000,1.77210E-015,47.48600E-003,1600,0.00000E+000
1,1,9,-16.00000E+000,-1.81000E-009,8.83978E+009,28.96000E-009,51.41600E-003,1728,-1.70000E-006,2.00900E-009,-846.19214E+000,-3.41530E-015,51.41600E-003,1600,0.00000E+000
1,1,10,-18.00000E+000,-1.73800E-009,10.35673E+009,31.28400E-009,55.44500E-003,1728,800.00000E-009,1.48500E-009,538.72054E+000,1.18800E-015,55.44500E-003,1600,0.00000E+000
1,1,11,-20.00000E+000,-2.12100E-009,9.42951E+009,42.42000E-009,60.23300E-003,1728,700.00000E-009,415.00000E-012,1.68675E+003,290.50000E-018,60.23300E-003,1600,0.00000E+000
1,1,12,-22.00000E+000,-1.55200E-009,14.17526E+009,34.14400E-009,64.65300E-003,1792,200.00000E-009,959.00000E-012,208.55057E+000,191.80000E-018,64.65300E-003,1600,0.00000E+000
1,1,13,-24.00000E+000,-932.00000E-012,25.75107E+009,22.36800E-009,68.89100E-003,1792,-1.10000E-006,1.49400E-009,-736.27845E+000,-1.64340E-015,68.89100E-003,1600,0.00000E+000
1,1,14,-26.00000E+000,-1.59900E-009,16.26016E+009,41.57400E-009,73.45300E-003,1792,500.00000E-009,538.00000E-012,929.36803E+000,269.00000E-018,73.45300E-003,1600,0.00000E+000
1,1,15,-28.00000E+000,-2.05600E-009,13.61868E+009,57.56800E-009,77.84100E-003,1792,300.00000E-009,-416.00000E-012,-721.15385E+000,-124.80000E-018,77.84100E-003,1600,0.00000E+000
1,1,16,-30.00000E+000,-1.24800E-009,24.03846E+009,37.44000E-009,81.74900E-003,1792,1.60000E-006,710.00000E-012,2.25352E+003,1.13600E-015,81.74900E-003,1600,0.00000E+000
1,1,17,-32.00000E+000,-651.00000E-012,49.15515E+009,20.83200E-009,85.69000E-003,1792,-1.00000E-006,1.29000E-009,-775.19380E+000,-1.29000E-015,85.69000E-003,1600,0.00000E+000
1,1,18,-34.00000E+000,-1.38000E-009,24.63768E+009,46.92000E-009,89.62700E-003,1792,-1.20000E-006,427.00000E-012,-2.81030E+003,-512.40000E-018,89.62700E-003,1600,0.00000E+000
1,1,19,-36.00000E+000,-1.80000E-009,20.00000E+009,64.80000E-009,93.66100E-003,1792,200.00000E-009,-211.00000E-012,-947.86730E+000,-42.20000E-018,93.66100E-003,1600,0.00000E+000
1,1,20,-38.00000E+000,-1.38900E-009,27.35781E+009,52.78200E-009,97.72400E-003,1792,-300.00000E-009,441.00000E-012,-680.27211E+000,-132.30000E-018,97.72400E-003,1600,0.00000E+000
