,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,60.0,5.7e-09,-20.0,-6.51e-10,5.7e-09,7.54983443527075e-05,,
1,60.0,2.109e-09,-18.00001,2.98e-10,2.109e-09,4.5923850012820134e-05,,
2,60.0,1.035e-09,-16.0,-9.6e-11,1.035e-09,3.2171415884290826e-05,,
3,60.0,1.0150000000000001e-09,-14.0,8.4e-10,1.0150000000000001e-09,3.1859064644147987e-05,,
4,60.0,1.038e-09,-12.0,1.479e-09,1.038e-09,3.2218007387174025e-05,,
5,60.0,1.05e-10,-10.000010000000001,1.119e-09,1.05e-10,1.0246950765959599e-05,,
6,60.0,-2.296e-09,-8.000010000000001,2.6090000000000004e-09,2.296e-09,4.7916594202843755e-05,,
7,60.0,-4.8359999999999994e-09,-5.99988,3.566e-09,4.8359999999999994e-09,6.954135460285484e-05,,
8,60.0,-2.403e-09,-4.0,2.3630000000000002e-09,2.403e-09,4.902040391510458e-05,,
9,60.0,-3.916e-09,-2.0,4.743e-09,3.916e-09,6.257795138864806e-05,,
10,60.0,-3.055e-09,3e-07,5.177000000000001e-09,3.055e-09,5.5272054421741916e-05,,
11,60.0,-1.6900000000000002e-09,2.0,2.6229999999999997e-09,1.6900000000000002e-09,4.1109609582188935e-05,,
12,60.0,-1.411e-09,3.99999,3.858e-09,1.411e-09,3.75632799419859e-05,,
13,60.0,-1.173e-09,6.0,1.907e-09,1.173e-09,3.424908757908742e-05,,
14,60.0,-7.73e-10,7.9999899999999995,3.101e-09,7.73e-10,2.7802877548915688e-05,,
15,60.0,-7.27e-10,10.0,1.862e-09,7.27e-10,2.6962937525425525e-05,,
16,60.0,-1.067e-09,12.0,1.199e-09,1.067e-09,3.266496594212215e-05,,
17,60.0,-3.15e-10,14.0,2.128e-09,3.15e-10,1.7748239349298848e-05,,
18,60.0,3.44e-10,16.0,3.049e-09,3.44e-10,1.8547236990991407e-05,,
19,60.0,-3.4e-11,18.0,2.741e-09,3.4e-11,5.830951894845301e-06,,
20,60.0,-1.1970000000000001e-09,20.0,1.812e-09,1.1970000000000001e-09,3.459768778401239e-05,,
21,60.0,-6.39e-10,22.0,3.029e-09,6.39e-10,2.5278449319529074e-05,,
22,60.0,-1.35e-10,24.0,4.452999999999999e-09,1.35e-10,1.1618950038622251e-05,,
23,60.0,2.74e-10,26.0,5.5920000000000005e-09,2.74e-10,1.6552945357246847e-05,,
