 ,Mobility,Vth,Coeff. Det.,I on/off
N-type,7.43E-06,118.0190263,1,1.00E+03
N-type,6.97E-05,56.15297989,0.998780203,1.00E+02
N-type,2.17E-05,111.772806,1,1.00E+02
N-type,1.24E-05,123.4791503,1,1.00E+03
P-type,0.001226648,-50.95428544,0.991142833,1.00E+04
P-type,0.000468655,-37.40095836,1,1.00E+04
P-type,0.001229236,-33.50750845,0.991605917,1.00E+04
P-type,0.001064155,-26.76156617,0.99522996,1.00E+05
