,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
345,80.0,1.148e-09,60.0,4.307e-09,1.148e-09,3.388214869219483e-05,,
346,80.0,1.771e-09,62.0,3.717e-09,1.771e-09,4.208325082500163e-05,,
347,80.0,1.5559999999999998e-09,64.0,2.6379999999999998e-09,1.5559999999999998e-09,3.9446165846632036e-05,,
348,80.0,1.762e-09,66.0,2.79e-09,1.762e-09,4.197618372363071e-05,,
349,80.0,1.148e-09,68.0,5.406e-09,1.148e-09,3.388214869219483e-05,,
350,80.0,2.197e-09,70.0,7.763e-09,2.197e-09,4.687216658103186e-05,,
351,80.0,2.914e-09,72.0,4.833e-09,2.914e-09,5.3981478305063115e-05,,
352,80.0,2.731e-09,74.0,4.561e-09,2.731e-09,5.225897052181568e-05,,
353,80.0,3.639e-09,76.0,5.706e-09,3.639e-09,6.032412452742269e-05,,
354,80.0,4.116e-09,78.0,5.999e-09,4.116e-09,6.415605972938176e-05,,
355,80.0,3.6280000000000003e-09,80.0,5.7620000000000006e-09,3.6280000000000003e-09,6.023288138550239e-05,,
356,80.0,2.5779999999999996e-09,82.0,4.478e-09,2.5779999999999996e-09,5.077400909914441e-05,,
357,80.0,3.191e-09,84.0,5.489e-09,3.191e-09,5.6488936969994395e-05,,
358,80.0,3.2800000000000003e-09,86.0,5.823e-09,3.2800000000000003e-09,5.7271284253105416e-05,,
359,80.0,4.111e-09,88.0,7.332999999999999e-09,4.111e-09,6.411708040764178e-05,,
360,80.0,3.4300000000000004e-09,90.0,6.7000000000000004e-09,3.4300000000000004e-09,5.8566201857385294e-05,,
361,80.0,3.3279999999999997e-09,92.0,6.368e-09,3.3279999999999997e-09,5.768882040742383e-05,,
362,80.0,2.882e-09,94.0,6.4759999999999996e-09,2.882e-09,5.3684262125878196e-05,,
363,80.0,3.363e-09,96.0,7.391999999999999e-09,3.363e-09,5.799137866959191e-05,,
364,80.0,3.996e-09,98.0,8.358e-09,3.996e-09,6.321392251711643e-05,,
365,80.0,3.217e-09,100.0,7.77e-09,3.217e-09,5.671860364994893e-05,,
366,84.0,1.93751e-07,-20.0,-4.95e-10,1.93751e-07,0.00044017155746367803,,
367,84.0,1.34338e-07,-18.0,3.404e-09,1.34338e-07,0.0003665214864097329,,
368,84.0,8.550700000000001e-08,-16.0,4.356e-09,8.550700000000001e-08,0.0002924157998467251,,
369,84.0,4.9971e-08,-14.0,3.73e-09,4.9971e-08,0.00022354194237323785,,
370,84.0,2.4943e-08,-12.0,2.3280000000000002e-09,2.4943e-08,0.0001579335303220947,,
371,84.0,1.2935000000000001e-08,-10.000010000000001,7.321999999999999e-09,1.2935000000000001e-08,0.00011373214145526321,,
372,84.0,6.1119999999999996e-09,-8.000010000000001,8.622999999999999e-09,6.1119999999999996e-09,7.817928114276826e-05,,
373,84.0,1.699e-09,-6.00001,6.281e-09,1.699e-09,4.12189276910499e-05,,
374,84.0,1.802e-09,-4.0,4.752e-09,1.802e-09,4.244997055358225e-05,,
375,84.0,2.7e-11,-2.0,3.865e-09,2.7e-11,5.196152422706632e-06,,
376,84.0,-1.4640000000000001e-09,3.5e-06,3.6670000000000003e-09,1.4640000000000001e-09,3.826225293941798e-05,,
377,84.0,-2.094e-09,2.0,6.614e-09,2.094e-09,4.57602447545902e-05,,
378,84.0,-1.905e-09,4.0,3.236e-09,1.905e-09,4.364630568559039e-05,,
379,84.0,-1.7449999999999999e-09,6.0,3.4279999999999997e-09,1.7449999999999999e-09,4.1773197148410845e-05,,
380,84.0,-6.42e-10,8.0,4.695e-09,6.42e-10,2.5337718918639855e-05,,
381,84.0,-2.388e-09,10.0,4.197e-09,2.388e-09,4.8867166891482464e-05,,
382,84.0,-9.79e-10,12.0,3.484e-09,9.79e-10,3.128897569432403e-05,,
383,84.0,-8.47e-10,14.0,3.051e-09,8.47e-10,2.9103264421710496e-05,,
384,84.0,-1.8410000000000002e-09,16.0,1.124e-09,1.8410000000000002e-09,4.290687590584987e-05,,
385,84.0,-1.4199999999999999e-09,18.0,1.071e-09,1.4199999999999999e-09,3.7682887362833545e-05,,
386,84.0,-7.69e-10,20.0,1.608e-09,7.69e-10,2.7730849247724096e-05,,
387,84.0,-6.9e-11,22.0,2.3e-09,6.9e-11,8.306623862918075e-06,,
388,84.0,-5.33e-10,24.0,1.446e-09,5.33e-10,2.3086792761230392e-05,,
389,84.0,-1.2939999999999999e-09,26.0,2.84e-10,1.2939999999999999e-09,3.5972211497209896e-05,,
390,84.0,-7.77e-10,28.0,8.29e-10,7.77e-10,2.7874719729532707e-05,,
391,84.0,5.39e-10,30.0,2.455e-09,5.39e-10,2.3216373532487797e-05,,
392,84.0,5.8e-11,32.0,1.7150000000000002e-09,5.8e-11,7.6157731058639085e-06,,
393,84.0,-6.3e-10,34.0,6.97e-10,6.3e-10,2.5099800796022265e-05,,
394,84.0,6.2e-11,36.0,2.276e-09,6.2e-11,7.874007874011811e-06,,
395,84.0,3.46e-10,38.0,2.913e-09,3.46e-10,1.8601075237738274e-05,,
396,84.0,6.2e-11,40.0,1.867e-09,6.2e-11,7.874007874011811e-06,,
397,84.0,-6.62e-10,42.0,9.19e-10,6.62e-10,2.5729360660537213e-05,,
398,84.0,-9.41e-10,44.0,3.85e-10,9.41e-10,3.0675723300355936e-05,,
399,84.0,-3.56e-10,46.0,1.435e-09,3.56e-10,1.8867962264113207e-05,,
400,84.0,4.26e-10,48.0,2.5759999999999998e-09,4.26e-10,2.0639767440550294e-05,,
401,84.0,1.57e-10,50.0,2.414e-09,1.57e-10,1.2529964086141669e-05,,
402,84.0,-4.78e-10,52.0,1.875e-09,4.78e-10,2.1863211109075446e-05,,
403,84.0,-6.33e-10,54.0,2.0069999999999998e-09,6.33e-10,2.5159491250818247e-05,,
404,84.0,9.3e-11,56.0,3.27e-09,9.3e-11,9.643650760992955e-06,,
405,84.0,-7.15e-10,58.0,4.375e-09,7.15e-10,2.6739483914241875e-05,,
406,84.0,2.54e-10,60.0,3.549e-09,2.54e-10,1.5937377450509226e-05,,
407,84.0,-3.2e-10,62.0,5.28e-09,3.2e-10,1.7888543819998316e-05,,
408,84.0,5.35e-10,64.0,7.321999999999999e-09,5.35e-10,2.3130067012440756e-05,,
409,84.0,2.073e-09,66.0,3.704e-09,2.073e-09,4.553020975132885e-05,,
410,84.0,2.267e-09,68.0,3.272e-09,2.267e-09,4.7613023428469654e-05,,
411,84.0,3.21e-09,70.0,4.343e-09,3.21e-09,5.6656861896861174e-05,,
412,84.0,3.489e-09,72.0,4.747e-09,3.489e-09,5.906775770248943e-05,,
413,84.0,2.734e-09,74.0,3.8550000000000004e-09,2.734e-09,5.228766584960549e-05,,
414,84.0,2.9120000000000003e-09,76.0,3.995e-09,2.9120000000000003e-09,5.3962950252928166e-05,,
415,84.0,3.3800000000000003e-09,78.0,4.852e-09,3.3800000000000003e-09,5.813776741499454e-05,,
416,84.0,4.029e-09,80.0,5.868e-09,4.029e-09,6.34744042902334e-05,,
417,84.0,3.8329999999999995e-09,82.0,5.7099999999999995e-09,3.8329999999999995e-09,6.191122676865642e-05,,
418,84.0,3.15e-09,84.0,4.862e-09,3.15e-09,5.6124860801609124e-05,,
419,84.0,3.274e-09,86.0,5.455e-09,3.274e-09,5.721887800367987e-05,,
420,84.0,4.472e-09,88.0,7.168e-09,4.472e-09,6.687301398920195e-05,,
421,84.0,4.279e-09,90.0,7.046e-09,4.279e-09,6.541406576570516e-05,,
422,84.0,3.746e-09,92.0,6.504e-09,3.746e-09,6.120457499239742e-05,,
423,84.0,3.2629999999999996e-09,94.0,6.34e-09,3.2629999999999996e-09,5.712267500739089e-05,,
424,84.0,3.366e-09,96.0,6.3580000000000006e-09,3.366e-09,5.801723881744115e-05,,
425,84.0,4.219e-09,98.0,7.776999999999999e-09,4.219e-09,6.495382975621991e-05,,
426,84.0,3.766e-09,100.0,7.731e-09,3.766e-09,6.136774397026503e-05,,
427,88.0,2.1344300000000001e-07,-20.0,-8.76e-10,2.1344300000000001e-07,0.00046199891774765015,,
428,88.0,1.37166e-07,-18.0,2.268e-09,1.37166e-07,0.0003703592850192904,,
429,88.0,8.768700000000001e-08,-16.00001,6.944e-09,8.768700000000001e-08,0.0002961199081453322,,
430,88.0,5.1304e-08,-14.0,4.759e-09,5.1304e-08,0.000226503863101714,,
431,88.0,2.5505e-08,-12.0,3.859e-09,2.5505e-08,0.00015970284906663374,,
432,88.0,1.1435999999999999e-08,-10.0,3.489e-09,1.1435999999999999e-08,0.0001069392350823588,,
433,88.0,6.072e-09,-8.0,4.818e-09,6.072e-09,7.792303895511262e-05,,
434,88.0,3.18e-09,-6.0,3.533e-09,3.18e-09,5.639148871948674e-05,,
435,88.0,8.67e-10,-4.0,2.5419999999999997e-09,8.67e-10,2.9444863728670913e-05,,
436,88.0,7.61e-10,-2.0,3.929e-09,7.61e-10,2.7586228448267444e-05,,
437,88.0,3.29e-10,3.8e-06,3.6259999999999997e-09,3.29e-10,1.8138357147217055e-05,,
438,88.0,9.08e-10,2.0,3.4749999999999997e-09,9.08e-10,3.0133038346638728e-05,,
