,V_Drain,I_Drain,V_Gate,I_Gate
0,-1.4e-06,-1.3e-11,0.0,1.2e-11
1,2.0,1.013e-09,-2.2e-06,1.0630000000000002e-09
2,4.0,-3.7e-11,-7e-07,-3.93e-10
3,6.0,-5.17e-10,2e-07,-1.161e-09
4,8.0,4.96e-10,1.5e-06,1.27e-10
5,10.0,1.215e-09,-1.4e-06,9.71e-10
6,12.0,2.99e-10,1.5e-06,-2.24e-10
7,14.0,-1.22e-10,-1e-06,-9.33e-10
8,16.0,5.5e-10,-1.8e-06,6e-12
9,18.0,1.0730000000000001e-09,-8e-07,6.06e-10
10,20.0,5.14e-10,-1e-07,-6.1e-11
11,22.0,-1e-12,1.3e-06,-8.58e-10
12,24.0,6.79e-10,1e-06,7e-12
13,26.0,1.345e-09,-1.7e-06,7.37e-10
14,28.0,5.81e-10,1e-07,-2.04e-10
15,30.0,1.82e-10,-7e-07,-9.38e-10
16,32.0,7.78e-10,-4e-07,-7.2e-11
17,34.0,1.2820000000000001e-09,-1.4e-06,3.95e-10
18,36.0,9.21e-10,0.0,-1.33e-10
19,38.0,6.42e-10,0.0,-8.84e-10
20,40.0,1.21e-09,6e-07,-3.55e-10
21,42.0,1.929e-09,-9e-07,1.08e-10
22,44.0,1.5129999999999998e-09,-7e-07,-7.53e-10
23,46.0,1.37e-09,-5e-07,-1.746e-09
24,48.0,2.5919999999999997e-09,-4e-07,-1.094e-09
25,50.0,3.925e-09,-2.9e-06,-8.44e-10
26,52.0,4.766e-09,3e-07,-1.439e-09
27,54.0,6.053e-09,9e-07,-2.272e-09
28,56.0,9.207999999999999e-09,-1.8e-06,-2.3169999999999998e-09
29,58.0,1.2454e-08,1.9e-06,-2.301e-09
30,60.0,1.6064e-08,-1.8e-06,-3.15e-09
31,62.0,2.0801e-08,-2.2e-06,-4.873e-09
32,64.0,2.8522e-08,-5.9e-06,-6.0770000000000004e-09
33,66.0,3.8039999999999995e-08,-5.6e-06,-8.046e-09
34,68.0,4.9063999999999995e-08,-2.5e-06,-9.832e-09
35,70.0,5.9913e-08,1.2e-06,-1.3047e-08
36,72.0,5.0838e-08,1.9e-06,-7.640000000000001e-09
37,74.0,7.2166e-08,6e-07,-1.3803000000000001e-08
38,76.0,7.0507e-08,-6e-07,-1.0517e-08
39,78.0,9.7397e-08,-3.1e-06,-1.7907e-08
40,80.0,1.0043200000000001e-07,-1.6e-06,-1.3752999999999999e-08
41,82.0,1.36164e-07,-6.2e-06,-2.3789e-08
42,84.0,1.74568e-07,-1.02e-05,-3.0441e-08
43,86.0,2.13679e-07,-5.6e-06,-3.4099e-08
44,88.0,2.60832e-07,-1.03e-05,-4.0311e-08
45,90.0,2.37472e-07,-3.7e-06,-2.8683999999999997e-08
46,92.0,2.94448e-07,-7.9e-06,-3.6840000000000004e-08
47,94.0,2.89607e-07,-6e-06,-2.5506999999999998e-08
48,96.0,3.5508600000000003e-07,-8.5e-06,-3.4017e-08
49,98.0,3.60473e-07,-1.6e-06,-2.2724000000000002e-08
50,100.0,3.8479700000000003e-07,-9e-07,-1.8768e-08
51,-9e-07,-4.34e-10,10.0,1.8379999999999999e-09
